module_name	common_pQTLs	overlap_ratio	old_pQTLs	predicted_pQTLs	delta
intrinsic component of mitochondrial inner membrane	0	0.0	10	0	0
mitotic recombination	0	0.0	39	0	0
endosome membrane	0	0.0	5	0	0
spindle microtubule	0	0.0	37	0	0
spliceosomal tri-snRNP complex	0	0.0	2	0	0
regulation of molecular function	0	0.0	114	0	0
sphingolipid metabolic process	0	0.0	11	0	0
protein serine|threonine kinase activity	0	0.0	41	0	0
drug transmembrane transporter activity	0	0.0	72	1	1
stress-activated MAPK cascade	0	0.0	20	0	0
DNA strand elongation involved in DNA replication	0	0.0	39	0	0
ATP-dependent chromatin remodeling	0	0.0	2	1	1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0	0.0	4	0	0
TRAPP complex	0	0.0	1	42	42
intrinsic component of peroxisomal membrane	0	0.0	85	0	0
Golgi subcompartment	0	0.0	80	0	0
transporter complex	0	0.0	17	28	28
carbon catabolite activation of transcription from RNA polymerase II promoter	0	0.0	23	0	0
endosome	0	0.0	4	0	0
RNA helicase activity	0	0.0	82	0	0
endonuclease activity	0	0.0	15	24	24
nuclear DNA-directed RNA polymerase complex	0	0.0	19	11	11
DNA replication	0	0.0	39	0	0
DNA polymerase activity	0	0.0	33	0	0
catalytic step 1 spliceosome	0	0.0	1	0	0
signal transduction involved in positive regulation of conjugation with cellular fusion	0	0.0	13	0	0
nuclear-transcribed mRNA catabolic process	0	0.0	51	0	0
histone binding	0	0.0	1	1	1
nucleic acid metabolic process	0	0.0	65	0	0
snRNA binding	0	0.0	3	0	0
RNA phosphodiester bond hydrolysis	0	0.0	44	0	0
dephosphorylation	0	0.0	1	0	0
transcription factor binding	0	0.0	20	3	3
positive regulation of growth of unicellular organism as a thread of attached cells	0	0.0	2	0	0
chromatin remodeling	0	0.0	54	40	40
spindle assembly checkpoint	0	0.0	1	0	0
condensed chromosome, centromeric region	0	0.0	16	36	36
DNA-dependent ATPase activity	0	0.0	95	37	37
nuclear RNA surveillance	0	0.0	4	0	0
ATPase activity, coupled	0	0.0	134	0	0
nuclear export	0	0.0	1	0	0
ribonuclease activity	0	0.0	44	0	0
chromatin assembly	0	0.0	26	35	35
peptide-lysine-N-acetyltransferase activity	0	0.0	1	0	0
iron ion homeostasis	0	0.0	23	0	0
catalytic activity, acting on RNA	0	0.0	14	0	0
cytoplasmic region	0	0.0	24	0	0
tRNA modification	0	0.0	52	0	0
organophosphate ester transport	0	0.0	54	0	0
negative regulation of cellular biosynthetic process	0	0.0	24	0	0
exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay	0	0.0	4	0	0
cellular response to osmotic stress	0	0.0	18	0	0
regulation of ATPase activity	0	0.0	38	0	0
positive regulation of MAP kinase activity	0	0.0	15	0	0
chromosome condensation	0	0.0	71	0	0
glycolipid biosynthetic process	0	0.0	9	0	0
catalytic activity, acting on DNA	0	0.0	151	37	37
tRNA processing	0	0.0	12	0	0
mitochondrial respiratory chain complex assembly	0	0.0	65	0	0
regulation of DNA-dependent DNA replication	0	0.0	5	25	25
condensed chromosome	0	0.0	8	0	0
negative regulation of cellular protein metabolic process	0	0.0	4	0	0
H4|H2A histone acetyltransferase complex	0	0.0	1	0	0
endopeptidase complex	0	0.0	48	0	0
RNA processing	0	0.0	26	0	0
positive regulation of DNA-templated transcription, elongation	0	0.0	37	0	0
transcription regulator activity	0	0.0	6	26	26
budding cell bud growth	0	0.0	2	0	0
cytoskeletal protein binding	0	0.0	17	0	0
establishment of sister chromatid cohesion	0	0.0	33	0	0
positive regulation of cytoskeleton organization	0	0.0	22	0	0
nuclear chromosome	0	0.0	8	0	0
exosome (RNase complex)	0	0.0	4	0	0
negative regulation of translation	0	0.0	30	0	0
translesion synthesis	0	0.0	33	0	0
DNA polymerase complex	0	0.0	33	0	0
regulation of mitochondrial translation	0	0.0	3	120	120
protein localization to organelle	0	0.0	24	0	0
microtubule organizing center part	0	0.0	33	0	0
cytosolic proteasome complex	0	0.0	25	0	0
mannosyltransferase activity	0	0.0	94	1	1
regulation of gluconeogenesis	0	0.0	24	24	24
ATP-dependent DNA helicase activity	0	0.0	3	0	0
tethering complex	0	0.0	42	0	0
drug transport	0	0.0	53	1	1
protein-DNA complex disassembly	0	0.0	28	10	10
SWI|SNF superfamily-type complex	0	0.0	28	0	0
activation of protein kinase activity	0	0.0	15	0	0
polyadenylation-dependent mRNA catabolic process	0	0.0	4	0	0
INO80-type complex	0	0.0	1	0	0
snRNA 3'-end processing	0	0.0	4	0	0
invasive filamentous growth	0	0.0	2	0	0
nuclear polyadenylation-dependent ncRNA catabolic process	0	0.0	4	0	0
ammonium transport	0	0.0	5	26	26
spore wall assembly	0	0.0	20	0	0
protein-containing complex assembly	0	0.0	2	0	0
nuclear-transcribed mRNA catabolic process, exonucleolytic	0	0.0	4	0	0
tRNA wobble base modification	0	0.0	31	0	0
cell cycle process	0	0.0	28	0	0
ATP-dependent helicase activity	0	0.0	90	0	0
negative regulation of cellular macromolecule biosynthetic process	0	0.0	4	0	0
RNA-dependent ATPase activity	0	0.0	82	0	0
lipid transport	0	0.0	64	0	0
RNA modification	0	0.0	17	0	0
regulation of programmed cell death	0	0.0	15	0	0
snoRNA 3'-end processing	0	0.0	4	0	0
establishment of protein localization to mitochondrial membrane	0	0.0	17	0	0
transcription by RNA polymerase III	0	0.0	21	0	0
regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	0	0.0	27	0	0
transcription, DNA-templated	0	0.0	75	0	0
proteasome assembly	0	0.0	31	0	0
DNA helicase complex	0	0.0	1	0	0
DNA-templated transcriptional preinitiation complex assembly	0	0.0	32	3	3
nucleic acid phosphodiester bond hydrolysis	0	0.0	5	0	0
mitotic DNA damage checkpoint	0	0.0	40	1	1
protein lipidation	0	0.0	9	0	0
fungal-type cell wall assembly	0	0.0	20	0	0
threonine-type peptidase activity	0	0.0	8	0	0
tRNA catabolic process	0	0.0	4	0	0
vacuole organization	0	0.0	5	0	0
phospholipid transport	0	0.0	40	0	0
multimeric ribonuclease P complex	0	0.0	44	0	0
telomere maintenance	0	0.0	64	0	0
rRNA binding	0	0.0	182	0	0
inner mitochondrial membrane organization	0	0.0	17	0	0
ATPase activity, coupled to movement of substances	0	0.0	86	0	0
