SNP	gene	p_value	FDR	q_value
MLF3	SUV3	2.04479795011875E-10	0.000000503	4.56741164330245E-07
ILV6	SNZ1	2.05023895385031E-10	5.04098355990739E-07	4.57768434600357E-07
GSY2	YEH1	2.05287537847138E-10	5.04539378531847E-07	4.58168924298186E-07
IDH2	PUP1	2.05516347126737E-10	5.04894464038655E-07	4.58491375134753E-07
YMR114C	MYO5	2.06359254275594E-10	5.06757301010156E-07	4.60183005258568E-07
YHL008C	FUS3	2.08073581251816E-10	5.10757682439397E-07	4.63815725585673E-07
YDL011C	YDL012C	2.08506565949571E-10	5.11610766346739E-07	4.64590405527009E-07
IRA2	YOL092W	2.09038753186854E-10	5.12706463990564E-07	4.65585401422648E-07
SLI15	NIS1	2.09403495468714E-10	5.13390742504366E-07	4.66206790285299E-07
RTC2	NIS1	2.09561689601396E-10	5.13568277763153E-07	4.66368008897771E-07
gJL02	AGP3	2.10248862827839E-10	0.000000515	4.67705827770691E-07
AGP1	YGL138C	2.10727802704289E-10	0.000000516	4.6857951952006E-07
SLI15	SYN8	2.11388810301844E-10	5.17410583400986E-07	4.69857181628021E-07
MAK5	YLR042C	2.11841442636735E-10	5.18306579467198E-07	4.706708298214E-07
RIM8	YGL057C	2.14405476710652E-10	5.24365641301067E-07	4.76173024418694E-07
UGO1	APT2	2.17289936424463E-10	5.31203091222057E-07	4.82382068169369E-07
BOP2	YGR235C	2.17540058792576E-10	5.31597491743497E-07	4.82740220714719E-07
SWP82	AAD6	2.180708942691E-10	5.32677262539927E-07	4.83720753543949E-07
NNL035W	IFM1	2.19249013136698E-10	5.3533661353691E-07	4.86135692867743E-07
MDJ2	LEM3	2.2063058251113E-10	5.38490355445665E-07	0.000000489
NOP15	NMA111	2.20977897077847E-10	5.39118262693704E-07	4.89569783842531E-07
KRE1	PFS2	2.21958991207098E-10	5.41291256240259E-07	4.91543065132544E-07
CSH1	TBS1	2.22585382816965E-10	5.42597819634711E-07	4.92729546843259E-07
APN2	APN2	2.23783594748205E-10	5.45074836551125E-07	0.000000495
POP8	APN2	2.23783594748205E-10	5.45074836551125E-07	0.000000495
YCL026C	SNZ1	2.24383119801634E-10	5.46312854385612E-07	4.96103145709821E-07
NLR116W	ATF1	2.24691222732497E-10	5.46840619243097E-07	4.96582405540322E-07
YLR169W	PUS5	2.29186039283319E-10	5.57553198493096E-07	5.06310429001469E-07
YGR283C	SCW4	2.32272112340657E-10	5.64831341384363E-07	5.12919663168848E-07
NJR007C	YJR015W	2.33468356243617E-10	5.67509818558273E-07	5.15351970849369E-07
BOP2	ERG6	2.35032411079657E-10	5.71079825633436E-07	5.1859387102795E-07
YCL022C	MATALPHA1	2.35580818267118E-10	5.72180124961852E-07	5.19593045683401E-07
YBR226C	BUD9	2.37936176165397E-10	5.77636447120396E-07	5.24547896306319E-07
YGR051C	YGR050C	2.38020285435781E-10	5.77636447120396E-07	5.24547896306319E-07
YMR324C	FET4	2.38734513011004E-10	5.79135008321909E-07	5.25908729975418E-07
RTN1	AKR1	2.39467690012271E-10	5.80678305539609E-07	5.27310188129514E-07
ACO2	YFL052W	2.39747638397931E-10	5.81121777053393E-07	5.27712901723482E-07
SEC72	YDL086W	2.39990657207597E-10	5.81475412641232E-07	0.000000528
YAP3	FIG2	2.40265340868054E-10	5.81670148659289E-07	5.28210874408034E-07
STE20	FIG2	2.40265340868054E-10	5.81670148659289E-07	5.28210874408034E-07
MIG1	YDR491C	2.40397871772426E-10	5.81755756300168E-07	5.28288614149275E-07
ALR2	AAD6	2.40755035012984E-10	5.82384678750698E-07	5.28859734531325E-07
VPS63	SPP2	2.41059716587629E-10	5.82868295339983E-07	5.29298903606948E-07
MCM7	NNT1	2.41149670871796E-10	5.82868295339983E-07	5.29298903606948E-07
gOL02	MSC1	2.41276354565547E-10	5.82939154042942E-07	5.29363249933704E-07
AGP1	SNZ1	2.4188514317807E-10	5.84174282131144E-07	5.30484861707969E-07
CEP3	YMR193C-A	2.42162324555156E-10	5.84607875906447E-07	5.30878605391943E-07
DLD3	YEL073C	2.43507804295891E-10	5.8761907653129E-07	5.336130570717E-07
YMR317W	YGL024W	2.44030189371765E-10	5.88642406116069E-07	5.34542336004149E-07
gCR02	LEU1	2.4500482527587E-10	5.9058042511864E-07	5.36302238440825E-07
YAL064W	IZH4	2.45030910435665E-10	5.9058042511864E-07	5.36302238440825E-07
MLF3	YNL035C	2.45587741880686E-10	5.91684317808396E-07	5.3730467620431E-07
YHL017W	YHL010C	2.46443789394047E-10	5.93507921242431E-07	0.000000539
DIA4	FUS1	2.47067314173102E-10	5.94770301337177E-07	5.40107037752182E-07
GSY2	WTM2	2.48111296299685E-10	0.000000597	5.42171256157223E-07
YLR269C	NSG2	2.48496911276657E-10	5.97731115826326E-07	5.42795734110208E-07
YLR281C	YGR235C	2.51224193486675E-10	6.03802043823352E-07	5.48308704292998E-07
YLR282C	YGR235C	2.51224193486675E-10	6.03802043823352E-07	5.48308704292998E-07
NLR121W	ERG9	2.51323356262619E-10	6.03802043823352E-07	5.48308704292998E-07
YBR144C	NIS1	2.57433899972598E-10	6.18234481016143E-07	5.61414706529857E-07
NLR116W	SMD2	2.57591866876652E-10	6.18365801978182E-07	5.61533958240378E-07
FIG4	PFS2	2.57838927019788E-10	6.1871080598796E-07	5.61847254135138E-07
IRA2	YER097W	2.61324415053172E-10	6.26823358250899E-07	5.69214210019612E-07
KTR4	ISR1	2.62583147283824E-10	6.29590364785858E-07	5.71726910636433E-07
BAR1	YIL014C-A	2.65707793630888E-10	6.36827229953036E-07	5.78298660771349E-07
YBR226C	DSE3	2.68220680657901E-10	6.42592674127097E-07	5.83534223083686E-07
NLR116W	YPR150W	2.69087409870808E-10	6.43917866485767E-07	5.84737621635502E-07
YNL035C	COG6	2.69096478749296E-10	6.43917866485767E-07	5.84737621635502E-07
NNL004W	COG6	2.69096478749296E-10	6.43917866485767E-07	5.84737621635502E-07
ROT2	BUD9	2.71043437364165E-10	6.48317601599407E-07	5.88732992442989E-07
SHU1	KAR5	2.72179420227967E-10	6.50774797987533E-07	0.000000591
ILV6	HMLALPHA2	2.74076692464408E-10	0.000000655	5.94846214118979E-07
VPS29	FUS1	2.77552553318539E-10	6.63092210529116E-07	6.02149718606067E-07
YLL059C	JLP1	2.82102460272943E-10	6.73693420172051E-07	6.11776608052232E-07
SEC72	HMG1	2.86281936257323E-10	6.83401896469756E-07	6.20592812160695E-07
BUD3	STE3	2.87672785187695E-10	6.86448377293035E-07	6.23359301558923E-07
YLR252W	QDR2	2.90209363157983E-10	6.92225294299755E-07	6.28605282275891E-07
gOL02	YOL092W	2.91963054532739E-10	6.9613096424886E-07	6.32151995724606E-07
GSY2	HEM13	2.94921973744757E-10	7.02906019611335E-07	6.38304379382981E-07
COG6	COG6	2.95906306624204E-10	0.000000705	6.40179938191444E-07
YVH1	YPS6	2.98404567584577E-10	7.10640507144325E-07	6.45328017147984E-07
YKR035W	YKR017C	2.98562536331563E-10	7.10733994017822E-07	6.45412911969059E-07
YBR144C	YLR042C	3.00512738464882E-10	7.15092157702073E-07	6.49370532032214E-07
DAL4	YPS6	3.03091962213836E-10	7.20718980306301E-07	6.54480212999629E-07
gJL02	DAK2	3.03118134388563E-10	7.20718980306301E-07	6.54480212999629E-07
gLR07	YGR266W	3.04341657602371E-10	7.23340863222311E-07	6.56861127803066E-07
YMR316C	YGL024W	3.04544481407206E-10	7.23535691268379E-07	0.000000657
KTR4	COG4	3.08423853964021E-10	7.32461631356435E-07	6.65143637955088E-07
PRM5	FLX1	3.10555159908136E-10	7.37230736025427E-07	6.69474430850613E-07
CYC7	RAD23	3.12620619147406E-10	7.41839807839814E-07	6.73659898952936E-07
NLR121W	YEL033W	3.15725621753557E-10	7.48911056861291E-07	6.80081254144361E-07
SUN4	CRM1	3.17879478566118E-10	7.53721450824434E-07	6.84449541579046E-07
NNL045W	YNL179C	3.190296277974E-10	7.55885957939826E-07	6.86415116396179E-07
NBP1	YRF1-6	3.19115743847543E-10	7.55885957939826E-07	6.86415116396179E-07
YHR021W	DOG2	3.19171115328891E-10	7.55885957939826E-07	6.86415116396179E-07
MCP2	ERG6	3.22701948356099E-10	7.63945758687861E-07	6.93734168973465E-07
YSH1	ERG27	3.23896538465765E-10	7.66470688960594E-07	0.000000696
NBP1	YRF1-7	3.24867969083708E-10	7.68465746732494E-07	6.97838740684549E-07
MCM5	YGR235C	3.27352636368434E-10	0.000000774	7.02898261266727E-07
NTC20	YLR042C	3.28056608985318E-10	7.7539566300488E-07	7.04131752526825E-07
YFT2	YDR357C	3.28357069839967E-10	7.75799556287045E-07	7.04498525386377E-07
RIM13	YIM1	3.30299963886327E-10	7.80082128555105E-07	7.08387501376706E-07
NIL005W	YIL089W	3.30599564329034E-10	7.80481824067381E-07	7.08750462268757E-07
YNL010W	YNL040W	3.31388729512087E-10	7.81768504100515E-07	7.09918888028531E-07
IDH1	COG6	3.31405736356598E-10	7.81768504100515E-07	7.09918888028531E-07
RED1	MAP1	3.42719965266444E-10	8.08139752300101E-07	7.33866446800185E-07
TRZ1	YPR197C	3.44469695381461E-10	8.11764513887392E-07	7.37158069194692E-07
NOL046W	YAR068W	3.44528347768403E-10	8.11764513887392E-07	7.37158069194692E-07
CCZ1	NIS1	3.45155998316877E-10	8.1292343745678E-07	7.38210480141633E-07
YOR029W	YOR062C	3.49003964231178E-10	8.21663066016443E-07	7.46146879927907E-07
YCL022C	PYC1	3.49277333705862E-10	0.000000822	7.46437798918329E-07
NBR043C	TYR1	3.51183441498339E-10	8.26144488225793E-07	7.50216430255097E-07
YCR100C	GIT1	3.5223984718413E-10	8.28304175479308E-07	7.52177628187044E-07
YSH1	SMD2	3.54200430481441E-10	8.32587536982883E-07	7.56067320877006E-07
RPB5	FKH2	3.57121522156131E-10	8.3912443210338E-07	0.000000762
NBR034W	SYN8	3.60457721678682E-10	8.46299177605615E-07	7.68518772442119E-07
NBR035W	SYN8	3.60457721678682E-10	8.46299177605615E-07	7.68518772442119E-07
NDL012C	BSC1	3.62550686732183E-10	8.50879458769261E-07	7.72678095941976E-07
PIG1	ERG26	3.63465582569436E-10	8.52692393065162E-07	7.74324409771022E-07
REX4	YOL092W	3.66549188224237E-10	8.59589720228289E-07	7.80587827655389E-07
YLR257W	WTM2	3.68848935120698E-10	8.6464414898597E-07	7.85177721497939E-07
MED8	ISR1	3.70530423216705E-10	8.68245885523043E-07	7.88448434994274E-07
gOL02	DST1	3.72273957897231E-10	0.000000872	7.9184856597512E-07
gKR06	NFT1	3.74370078140188E-10	8.76557011504048E-07	0.000000796
YLR460C	YRF1-4	3.7739222312558E-10	8.83287678498205E-07	8.02107789249239E-07
MUD1	ISR1	3.77607151212283E-10	8.83445352699491E-07	8.02250972164718E-07
NDL012C	YDL038C	3.78009928556888E-10	0.000000884	8.02754890550208E-07
DUR3	AGA1	3.78139644062128E-10	0.000000884	8.02754890550208E-07
YSH1	CYB5	3.80263158130397E-10	8.88617560331302E-07	8.06947820235942E-07
PEX6	PFS2	3.82236262548307E-10	8.92879898373217E-07	8.10818421657266E-07
SRL3	NFT1	3.82656263430594E-10	8.93512374318569E-07	8.11392768944825E-07
NGL038C	SPT16	3.86141336996917E-10	9.01298591652983E-07	8.1846338220566E-07
NLR116W	MAP1	3.88225473069038E-10	9.05810064241093E-07	8.22560221086124E-07
PCS60	DSE3	3.90994284008596E-10	9.11914887152104E-07	8.28103971019596E-07
NBR051C	DSE1	3.91343356899226E-10	9.1237360481276E-07	8.28520529540261E-07
MTD1	MTD1	3.92123669509221E-10	9.13836961548226E-07	8.2984939426298E-07
NBP1	YIL177C	3.94565900849606E-10	9.19170743326031E-07	8.34692966764077E-07
YNL040W	COG6	3.95268412296938E-10	9.20449144807722E-07	8.35853874825193E-07
NBR051C	PRY3	3.96545859506274E-10	9.22758220693103E-07	0.000000838
NHR001C	YAP3	3.96568252190678E-10	9.22758220693103E-07	0.000000838
NOL042W	YAR068W	3.9810373093121E-10	0.000000926	8.40868401316234E-07
YLR269C	YGR235C	3.9826954962902E-10	0.000000926	8.40891954095162E-07
YLR294C	HMX1	4.01224748834413E-10	9.32505970436674E-07	8.46802599669906E-07
NBR044W	TYR1	4.04745620206101E-10	9.4025642325136E-07	8.53840735403259E-07
YBR064W	TAT1	4.04873596964561E-10	9.4025642325136E-07	8.53840735403259E-07
SRL3	MTD1	4.0726457667082E-10	9.45442369670506E-07	8.58550059577801E-07
CRZ1	YNL018C	4.10194956911238E-10	9.51875999376852E-07	8.64392396821064E-07
YBR162W	YBR197C	4.11728875509574E-10	9.55065346678787E-07	8.67288622338272E-07
STE6	UBA1	4.12216427139092E-10	9.55825962353499E-07	0.000000868
NBR056W	AMN1	4.16104939417487E-10	9.64468906320972E-07	8.75827933617346E-07
CSH1	YBR197C	4.18017790804601E-10	9.68527646931766E-07	8.79513649537209E-07
gKR06	FLO10	4.22127151604347E-10	9.77670488025256E-07	8.87816203999902E-07
CEN13	PPZ1	4.23895687174278E-10	9.81386870217406E-07	8.91191026469088E-07
gLR07	ERG28	4.24402495503802E-10	9.82180406416208E-07	8.91911631524049E-07
YLR269C	SMD2	4.24800920844242E-10	9.82722599188919E-07	8.92403993250418E-07
MLF3	IFM1	4.2629487602347E-10	9.85797762385728E-07	8.9519652892528E-07
SPE1	YKL187C	4.28279372543891E-10	0.00000099	0.000000899
YHL008C	FIG2	4.30100863281003E-10	9.93831292616522E-07	9.02491725416921E-07
NNL035W	KEM1	4.30418638427966E-10	9.94181867746412E-07	9.02810080409578E-07
NNL035W	NMA111	4.30976790310817E-10	9.95087181036789E-07	9.03632189513552E-07
OM14	BUD9	4.32977462171389E-10	9.99321163015553E-07	9.07477040978571E-07
AXL2	YIL151C	4.3498234254039E-10	1.00356159139334E-06	9.11327746376566E-07
RPL16A	PFK27	4.35642467333314E-10	1.00431055118283E-06	0.000000912
FKH1	PFK27	4.35642467333314E-10	1.00431055118283E-06	0.000000912
CDC11	CBF1	4.36238575231414E-10	1.00529769190935E-06	9.1290428795041E-07
STI1	YOR062C	4.36667791177836E-10	1.00589962387697E-06	9.13450898450675E-07
LEU2	STE3	4.37783454728145E-10	1.00808177228523E-06	9.15432493210987E-07
gNL07	COG6	4.41370388307261E-10	0.000001016	9.22578157164838E-07
BUD3	YCL065W	4.41646650484E-10	1.01619584472493E-06	9.2280082955808E-07
OTU1	AAD6	4.42442616850923E-10	1.01763620598724E-06	9.24108812241367E-07
NJR013W	CBF1	4.4561226558341E-10	1.02453293138776E-06	9.30371683669026E-07
PYC2	PRY3	4.46130176825765E-10	1.02532993918122E-06	9.31095441256492E-07
HST3	YOR062C	4.51689881286736E-10	1.03770931738022E-06	9.42337073989737E-07
MED8	TYR1	4.52973942054111E-10	1.04026013114521E-06	9.44653451359903E-07
NBR044W	NIS1	4.53848101829604E-10	1.04186800712828E-06	9.46113553070323E-07
URA5	CHA1	4.55763165926113E-10	1.04569492726205E-06	9.4958875432452E-07
RAT1	YOR019W	4.55937010898731E-10	1.04569492726205E-06	9.4958875432452E-07
CBP1	AGP3	4.56039128579809E-10	1.04569492726205E-06	9.4958875432452E-07
MAL13	SCW4	4.57351669743357E-10	1.04830308124624E-06	0.000000952
YLR257W	SPP2	4.61095980226371E-10	1.05648100317151E-06	9.59383519623541E-07
YMR326C	SAM4	4.64776841337188E-10	1.06426316724623E-06	9.66450452145642E-07
PNC1	YDR491C	4.64847992051602E-10	1.06426316724623E-06	9.66450452145642E-07
MCM6	SPT16	4.66561759122904E-10	1.06777848539799E-06	9.69642689668994E-07
MEC3	CYB5	4.6833177609994E-10	1.07118876101523E-06	9.72739538750737E-07
MMP1	JLP1	4.68409703936852E-10	1.07118876101523E-06	9.72739538750737E-07
GSY2	NSG2	4.70394061401969E-10	1.07505755796615E-06	9.76252768069905E-07
SUN4	MRPS35	4.7046058270373E-10	1.07505755796615E-06	9.76252768069905E-07
gBR08	NNT1	4.71311599748138E-10	1.07659131891389E-06	9.77645566399345E-07
YLR455W	YRF1-4	4.75011479504369E-10	1.08462892939474E-06	9.84944468139496E-07
MCM7	ISR1	4.77576512362661E-10	1.09007011915777E-06	9.89885577132583E-07
ECM31	YLR042C	4.79035311690724E-10	0.000001093	9.92530874114335E-07
SEO1	IZH4	4.79919067192985E-10	1.09374907297978E-06	9.93226411142556E-07
YAL066W	IZH4	4.79919067192985E-10	1.09374907297978E-06	9.93226411142556E-07
YAL065C	IZH4	4.79919067192985E-10	1.09374907297978E-06	9.93226411142556E-07
NGR056C	YIL082W-A	4.80381237290248E-10	1.09438578018469E-06	9.93804600809375E-07
YBR124W	ISR1	4.82297307465002E-10	1.09833296153447E-06	9.97389010490734E-07
FAR3	CSM3	4.84987796733396E-10	0.000001104	1.00257158121265E-06
NBR050C	YBR197C	4.85368274652957E-10	1.10448622498106E-06	0.000001003
YCL023C	YGL138C	4.86031588648675E-10	1.10557542684678E-06	0.000001004
DUR1                                                                             ,2	RMA1	4.87966910355417E-10	1.10955613675133E-06	1.00758070282461E-06
MPD2	YOL092W	4.88426934341136E-10	1.11018051438456E-06	1.00814769608766E-06
SWP82	AGP3	4.88919188115807E-10	1.11087764769778E-06	1.00878075830996E-06
NBR041W	YLR042C	4.89936900388419E-10	1.11276769809703E-06	1.01049710077031E-06
NBR031C	SYN8	4.9015850056835E-10	1.11284883352758E-06	1.01057077932647E-06
YBR162W	TBS1	4.90518025337802E-10	1.11324293075193E-06	1.01092865644971E-06
YLR235C	CYB5	4.92539996372004E-10	1.11740826300082E-06	1.01471116754205E-06
PYC2	YBR197C	4.9740136436449E-10	0.000001128	1.02433820919027E-06
TPK1	VPS35	4.97912069481863E-10	1.12851812404558E-06	1.02479996001409E-06
TAF5	TYR1	4.98002571857429E-10	1.12851812404558E-06	1.02479996001409E-06
CWC27	YPL088W	4.99899806157069E-10	1.13238881527091E-06	1.02831490951151E-06
PCS60	YBR197C	5.01313172030856E-10	1.13516091911533E-06	1.03083223896187E-06
gLR07	PET10	5.03852287197437E-10	1.14047908144312E-06	1.03566162754211E-06
gOL02	NQM1	5.05690321854383E-10	1.14420691488074E-06	0.000001039
DAD2	PXL1	5.07273781201045E-10	1.14735613107938E-06	1.04190663153637E-06
PAC2	URA3	5.08935201132268E-10	1.15067923403523E-06	1.04492431969194E-06
gDR10	UBC1	5.09600605467304E-10	1.15174873240354E-06	1.04589552419608E-06
MCM21	YDR357C	5.12782052816181E-10	1.15850178856032E-06	0.000001052
NAL013C	IZH4	5.14115571978915E-10	1.15932712928315E-06	1.05277741705514E-06
gAL01	IZH4	5.14115571978915E-10	1.15932712928315E-06	1.05277741705514E-06
NAL012W	IZH4	5.14115571978915E-10	1.15932712928315E-06	1.05277741705514E-06
NAL008C	IZH4	5.14115571978915E-10	1.15932712928315E-06	1.05277741705514E-06
NAL007W	IZH4	5.14115571978915E-10	1.15932712928315E-06	1.05277741705514E-06
DIE2	CPD1	5.16680963894044E-10	1.16467339894593E-06	1.05763232972327E-06
NNL013C	COG6	5.1765590810047E-10	1.16643189514071E-06	1.05922920866717E-06
ASP1	YDR357C	5.18648880726235E-10	0.000001168	1.06068717661376E-06
YLR455W	YML133C	5.18758622382995E-10	0.000001168	1.06068717661376E-06
DBF20	YPR114W	5.19450695047794E-10	1.16915599526542E-06	1.06170294625223E-06
SPC34	YKR017C	5.19886378042747E-10	1.16969687506448E-06	1.06219411567578E-06
YLR232W	ERG5	5.20730066384736E-10	1.17115497842069E-06	1.063518209839E-06
VPS63	YEH1	5.22616129290426E-10	0.000001175	0.000001067
MLF3	MRPL15	5.28761717781208E-10	1.18832586549854E-06	1.07911098058486E-06
gOL02	YOL047C	5.33901190432604E-10	1.19942595288117E-06	1.08919089765797E-06
NNL013C	YNL040W	5.35111382888585E-10	1.20169377161802E-06	1.09125028908582E-06
MAK21	ENA5	5.41501973573725E-10	1.21558909122599E-06	1.10386853834138E-06
YLR235C	UBX6	5.46636196835548E-10	1.22665469899093E-06	1.11391714469818E-06
NBR034W	TYW1	5.49091065036159E-10	1.23124046816814E-06	1.11808145182742E-06
NBR035W	TYW1	5.49091065036159E-10	1.23124046816814E-06	1.11808145182742E-06
CYC7	MDH2	5.49321032542296E-10	1.23129497082664E-06	1.1181309453367E-06
NEJ1	NSG2	5.49570550000739E-10	1.23139323721867E-06	1.11822018040743E-06
GRS1	ISR1	5.49861352575241E-10	1.23158390082209E-06	1.11839332078418E-06
YCL022C	STE3	5.50962176836972E-10	1.23358803644659E-06	1.12021326329471E-06
PFA3	PFS2	5.51669251325219E-10	1.23470940910985E-06	1.12123157450831E-06
SPO11	YAP3	5.53304743626193E-10	1.23766604250113E-06	1.12391647403859E-06
ILV6	YLR040C	5.53403728403109E-10	1.23766604250113E-06	1.12391647403859E-06
PEX11	HPF1	5.6261543677248E-10	1.2577978186202E-06	1.14219800884273E-06
TGL2	SHU2	5.69532468720192E-10	1.27278644156591E-06	1.15580907974016E-06
BOP2	ATF1	5.76736114547211E-10	1.28815977282443E-06	1.16976950175141E-06
NMR044C	YIM1	5.76841876240049E-10	1.28815977282443E-06	1.16976950175141E-06
YLR271W	YEH1	5.78005978958186E-10	1.29027809174665E-06	1.17169313337108E-06
YLR269C	ATF1	5.78304008644581E-10	1.29046222433215E-06	1.17186034297298E-06
gGR12	CPD1	5.78661126872851E-10	1.29077802429793E-06	1.17214711886555E-06
YSH1	ERG6	5.8493119627528E-10	1.3042782743458E-06	1.18440660802612E-06
RAS1	YOR131C	5.86237173956286E-10	1.3067036724261E-06	1.18660909622967E-06
YLR455W	YLL066C	5.91722768140217E-10	1.31844002788048E-06	1.19726680419562E-06
RED1	NSG2	5.9204797212105E-10	1.31867386660139E-06	1.19747915161542E-06
CDC8	RAD26	5.92327499651975E-10	1.31880583365893E-06	1.19759899004106E-06
MAK21	SHU2	6.02545919390779E-10	1.34105822944759E-06	1.21780624575858E-06
NTC20	NNT1	6.05019317435599E-10	1.34606276054335E-06	1.22235082785925E-06
SUN4	RSM28	6.07364835554042E-10	1.35077916865375E-06	1.22663376735305E-06
NIL022W	YIL166C	6.10787143057544E-10	1.35714012214695E-06	1.2324101078004E-06
YIL166C	YIL166C	6.10787143057544E-10	1.35714012214695E-06	1.2324101078004E-06
YLR232W	MAP1	6.10905019684467E-10	1.35714012214695E-06	1.2324101078004E-06
YGR035C	KSS1	6.14904270494542E-10	1.36551786787118E-06	0.00000124
MED8	COG4	6.15733018175423E-10	1.36685127547178E-06	1.24122874289975E-06
YSH1	YEL033W	6.16092438435203E-10	1.36714223186013E-06	1.24149295850143E-06
AGC1	YPR022C	6.16762404196025E-10	1.36715568157979E-06	1.24150517210428E-06
YPR022C	YPR022C	6.16762404196025E-10	1.36715568157979E-06	1.24150517210428E-06
YLR281C	MVD1	6.17011914572439E-10	1.36715568157979E-06	1.24150517210428E-06
YLR282C	MVD1	6.17011914572439E-10	1.36715568157979E-06	1.24150517210428E-06
NMR036C	MYO5	6.17786228440516E-10	1.36836495530039E-06	1.24260330569568E-06
TRZ1	ARR1	6.27544299666021E-10	1.38946453953793E-06	1.26176370075024E-06
DUR3	OPI1	6.33919992715114E-10	1.40306226758792E-06	1.27411170904979E-06
VPS63	MAP1	6.34840134588867E-10	1.40443827160213E-06	1.27536124933514E-06
NNL035W	MRPL17	6.35010849532491E-10	1.40443827160213E-06	1.27536124933514E-06
VMS1	MRH1	6.40809571325314E-10	1.4167398039851E-06	1.28653219078975E-06
gOL02	BDH2	6.41328734950237E-10	1.41736420282326E-06	1.28709920330886E-06
YOL150C	YAR068W	6.41577391214286E-10	1.41739052850246E-06	1.28712310948672E-06
YLR460C	YRF1-6	6.42762042878711E-10	1.41948389894841E-06	0.000001289
SRP40	MTD1	6.47327310741056E-10	0.000001429	1.29770080055617E-06
NUC1	YFL052W	6.48910322947948E-10	0.000001432	1.30039477767565E-06
RPB5	TYW1	6.5033584194832E-10	1.4346224163948E-06	1.30277127467501E-06
CCP1	SGE1	6.53512540587106E-10	1.44109913631042E-06	1.30865274185672E-06
REX4	YOL047C	6.54311372784154E-10	1.44232944368127E-06	1.30976997596896E-06
YLR252W	ERG7	6.54906634034837E-10	1.44311026953E-06	1.31047903883778E-06
STP3	BUD8	6.56746994128609E-10	1.44663313137489E-06	1.31367812673974E-06
NBR050C	DSE1	6.57790748551943E-10	1.44839934391899E-06	1.31528201285021E-06
PCH2	YLR042C	6.62719052123417E-10	1.45871456032951E-06	1.32464919370428E-06
PIG1	NSG2	6.63307373071862E-10	1.45947294587756E-06	1.32533787868219E-06
NNL035W	NAM9	6.64644823639585E-10	1.4618784759897E-06	1.32752232491323E-06
ASI1	MYO5	6.65066964315065E-10	1.46226976526737E-06	1.32787765215837E-06
RFT1	APN2	6.66351926391794E-10	1.46455713941672E-06	0.00000133
TYR1	TBS1	6.66707329142872E-10	1.46471072757718E-06	1.3300942741374E-06
NLR121W	QDR2	6.66911103223262E-10	1.46471072757718E-06	1.3300942741374E-06
MED2	YDL012C	6.67706840484484E-10	1.46592061896901E-06	1.33119296863202E-06
DPH5	PUS5	6.68505553032929E-10	1.46713615305976E-06	1.33229678722478E-06
YCL026C	DIC1	6.69090700512631E-10	1.46788226735215E-06	0.000001333
NBL002C	APN2	6.71354603751163E-10	1.47230941836646E-06	0.000001337
IRA2	GTT1	6.78443052742875E-10	1.48730988863895E-06	1.35061642514143E-06
NAL009W	IZH4	6.80601562132689E-10	1.49120690976121E-06	1.3541552846468E-06
ALR2	AGP3	6.80718844053026E-10	1.49120690976121E-06	1.3541552846468E-06
YGL204C	SIP2	6.81881011388005E-10	1.49320643319205E-06	0.000001356
BUD3	HMLALPHA2	6.86095455924357E-10	1.50187948066843E-06	1.36384697679239E-06
NNL035W	MRP21	6.86343319643492E-10	1.50187948066843E-06	1.36384697679239E-06
MDJ2	PEX6	6.89985240198115E-10	1.50929720970508E-06	1.37058296822947E-06
YLR232W	HMG1	6.96707307036287E-10	1.52344467647093E-06	1.38343019067723E-06
YLR460C	YRF1-7	6.98348221155908E-10	1.52647524224095E-06	1.38618222771923E-06
NJR007C	CPR7	7.02250890086535E-10	1.53444561850522E-06	1.3934200745051E-06
SEC72	ERG5	7.04319264260186E-10	1.53840363566603E-06	0.000001397
MEC3	ERG20	7.05598961530363E-10	1.54063673299599E-06	0.000001399
GRE2	YIL169C	7.10697176151327E-10	1.55120268629174E-06	1.40863705864711E-06
YCL026C	UBP9	7.1559428209726E-10	1.56132214871584E-06	1.41782647658079E-06
MEC3	MVD1	7.17011206040647E-10	1.56384375579009E-06	1.42011633154528E-06
NML013W	CHA1	7.20788728734026E-10	1.57125105502388E-06	1.42684285174629E-06
TAF5	YLR042C	7.20932286892364E-10	1.57125105502388E-06	1.42684285174629E-06
AGP2	TBS1	7.22038488737285E-10	1.57308933272909E-06	1.42851217976031E-06
SMF3	YLR050C	7.23864540916197E-10	1.57617264234101E-06	1.43131211314168E-06
YPQ1	YOL092W	7.23980240283295E-10	1.57617264234101E-06	1.43131211314168E-06
MCP2	HAP1	7.25006499306979E-10	1.57783314663627E-06	1.43282000627971E-06
YLR269C	ERG25	7.36473521542119E-10	1.6021785408924E-06	1.45492790027681E-06
MUM2	TAT1	7.36728305658701E-10	1.6021785408924E-06	1.45492790027681E-06
FTH1	TYR1	7.37579634703684E-10	1.60344750763558E-06	1.45608024071332E-06
SLX8	RTR1	7.37893246812737E-10	1.60354701775702E-06	1.45617060520663E-06
SUN4	SHE9	7.39193508528961E-10	1.60578980766236E-06	1.45820726811557E-06
NBR034W	FKH2	7.43674850110369E-10	1.6143533478371E-06	0.000001466
NBR035W	FKH2	7.43674850110369E-10	1.6143533478371E-06	0.000001466
BUD3	SAG1	7.46075363352722E-10	0.000001619	1.47018276122374E-06
