Interactor (sys)	Interactor (std)	Function
YEL030W_damp	ECM10_damp	unknown
YEL031W	SPF1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YEL034W_tsq736	hyp2-1	ribosome/translation
YEL036C	ANP1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YEL037C	RAD23	DNA replication/repair/HR/cohesion
YEL038W	UTR4	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YEL040W	UTR2	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis
YEL047C	YEL047C	metabolism/mitochondria
YEL050C	RML2	metabolism/mitochondria;ribosome/translation;lipid/sterol/fatty acid biosynth
YEL051W	VMA8	Golgi/endosome/vacuole/sorting
YEL055C_tsq594	pol5-2	ribosome/translation
YEL055C_tsq595	pol5-1	ribosome/translation;DNA replication/repair/HR/cohesion
YEL057C	YEL057C	unknown
YEL060C	PRB1	unknown
YEL061C	CIN8	chromosome segregation/kinetochore/spindle/microtubule
YEL065W	SIT1	drug/ion transport
YEL070W	DSF1	unknown
YER002W	NOP16	ribosome/translation
YER004W	FMP52	unknown
YER005W	YND1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YER006W_tsq786	nug1-2	ribosome/translation
YER007C-A	TMA20	unknown
YER008C	SEC3	cell polarity/morphogenesis
YER013W_tsq237	prp22-1	RNA processing
YER015W	FAA2	metabolism/mitochondria;lipid/sterol/fatty acid biosynth
YER016W	BIM1	chromosome segregation/kinetochore/spindle/microtubule
YER017C	AFG3	metabolism/mitochondria;protein degradation/proteosome
YER019C-A	SBH2	ER<->Golgi traffic
YER022W_tsq519	srb4-2	chromatin/transcription
YER030W	CHZ1	chromatin/transcription
YER031C	YPT31	cell polarity/morphogenesis
YER032W	FIR1	RNA processing
YER033C	ZRG8	unknown
YER035W	EDC2	RNA processing
YER037W	PHM8	unknown
YER042W	MXR1	signaling/stress response
YER044C-A	MEI4	G1/S and G2/M cell cycle progression/meiosis
YER045C	ACA1	metabolism/mitochondria;chromatin/transcription
YER046W	SPO73	G1/S and G2/M cell cycle progression/meiosis
YER046W-A	YER046W-A	unknown
YER047C	SAP1	chromosome segregation/kinetochore/spindle/microtubule
YER048C	CAJ1	unknown
YER049W	TPA1	unknown
YER051W	JHD1	chromatin/transcription
YER052C	HOM3	amino acid biosynth&transport/nitrogen utilization
YER053C	PIC2	drug/ion transport;metabolism/mitochondria
YER054C	GIP2	metabolism/mitochondria;signaling/stress response
YER056C	FCY2	drug/ion transport;metabolism/mitochondria
YER059W	PCL6	unknown
YER060W	FCY21	unknown
YER061C	CEM1	metabolism/mitochondria
YER062C	HOR2	metabolism/mitochondria
YER063W	THO1	ribosome/translation;chromatin/transcription
YER064C	YER064C	unknown
YER065C	ICL1	metabolism/mitochondria
YER066C-A	YER066C-A	unknown
YER066W	YER066W	unknown
YER067C-A	YER067C-A	unknown
YER067W	RGI1	unknown
YER070W	RNR1	DNA replication/repair/HR/cohesion
YER071C	YER071C	unknown
YER072W	VTC1	Golgi/endosome/vacuole/sorting
YER073W	ALD5	metabolism/mitochondria
YER074W	RPS24A	ribosome/translation
YER075C	PTP3	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis;metabolism/mitochondria;signaling/stress response
YER078C	ICP55	unknown
YER079W	YER079W	unknown
YER080W	AIM9	unknown
YER081W	SER3	metabolism/mitochondria
YER083C	GET2	ER<->Golgi traffic
YER084W	YER084W	ER<->Golgi traffic
YER085C	YER085C	unknown
YER086W	ILV1	amino acid biosynth&transport/nitrogen utilization
YER087C-A	YER087C-A	protein folding/protein glycosylation/cell wall biogenesis&integrity
YER087C-B	SBH1	ER<->Golgi traffic
YER088C	DOT6	ribosome/translation;chromatin/transcription
YER089C	PTC2	signaling/stress response
YER090W	TRP2	amino acid biosynth&transport/nitrogen utilization
YER091C	MET6	amino acid biosynth&transport/nitrogen utilization
YER091C-A	YER091C-A	unknown
YER092W	IES5	lipid/sterol/fatty acid biosynth
YER093C_tsq658	tsc11-1	cell polarity/morphogenesis;signaling/stress response
YER093C-A	AIM11	unknown
YER095W	RAD51	DNA replication/repair/HR/cohesion
YER096W	SHC1	protein folding/protein glycosylation/cell wall biogenesis&integrity;G1/S and G2/M cell cycle progression/meiosis
YER097W	YER097W	unknown
YER098W	UBP9	chromosome segregation/kinetochore/spindle/microtubule
YER100W	UBC6	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YER101C	AST2	drug/ion transport
YER105C	NUP157	nuclear-cytoplasic transport
YER106W	MAM1	chromosome segregation/kinetochore/spindle/microtubule
YER107C	GLE2	nuclear-cytoplasic transport
YER108C	YER108C	unknown
YER109C	FLO8	cell polarity/morphogenesis;signaling/stress response;chromatin/transcription
YER110C_damp	KAP123_damp	nuclear-cytoplasic transport
YER111C	SWI4	G1/S and G2/M cell cycle progression/meiosis;chromatin/transcription
YER112W_damp	LSM4_damp	RNA processing
YER113C	TMN3	unknown
YER114C	BOI2	cell polarity/morphogenesis
YER115C	SPR6	unknown
YER116C	SLX8	DNA replication/repair/HR/cohesion
YER118C	SHO1	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis;metabolism/mitochondria;signaling/stress response
YER119C	AVT6	drug/ion transport;amino acid biosynth&transport/nitrogen utilization
YER119C-A	YER119C-A	unknown
YER120W	SCS2	lipid/sterol/fatty acid biosynth
YER121W	YER121W	unknown
YER122C	GLO3	ER<->Golgi traffic
YER123W	YCK3	cell polarity/morphogenesis
YER124C	DSE1	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis
YER125W_tsq465	rsp5-3	unknown
YER128W	YER128W	unknown
YER129W	SAK1	metabolism/mitochondria;signaling/stress response;DNA replication/repair/HR/cohesion
YER130C	COM2	cell polarity/morphogenesis
YER131W	RPS26B	ribosome/translation
YER132C	PMD1	G1/S and G2/M cell cycle progression/meiosis
YER133W_damp	GLC7_damp	signaling/stress response
YER134C	YER134C	unknown
YER135C	YER135C	unknown
YER137C	YER137C	unknown
YER139C	RTR1	unknown
YER140W	YER140W	unknown
YER142C	MAG1	DNA replication/repair/HR/cohesion
YER143W	DDI1	protein degradation/proteosome
YER144C	UBP5	unknown
YER145C	FTR1	drug/ion transport
YER149C	PEA2	cell polarity/morphogenesis
YER150W	SPI1	protein folding/protein glycosylation/cell wall biogenesis&integrity;signaling/stress response
YER151C	UBP3	ER<->Golgi traffic
YER152C	YER152C	unknown
YER153C	PET122	ribosome/translation
YER155C	BEM2	cell polarity/morphogenesis
YER156C	YER156C	unknown
YER157W_tsq44	cog3-1	Golgi/endosome/vacuole/sorting
YER158C	YER158C	unknown
YER161C	SPT2	chromatin/transcription
YER162C	RAD4	DNA replication/repair/HR/cohesion
YER163C	YER163C	unknown
YER164W	CHD1	chromatin/transcription
YER166W	DNF1	lipid/sterol/fatty acid biosynth
YER167W	BCK2	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YER170W	ADK2	metabolism/mitochondria
YER172C_damp	BRR2_damp	RNA processing
YER173W	RAD24	DNA replication/repair/HR/cohesion
YER174C	GRX4	metabolism/mitochondria
YER175C	TMT1	metabolism/mitochondria
YER176W	ECM32	DNA replication/repair/HR/cohesion
YER177W	BMH1	cell polarity/morphogenesis;Golgi/endosome/vacuole/sorting;signaling/stress response
YER178W	PDA1	metabolism/mitochondria
YER179W	DMC1	DNA replication/repair/HR/cohesion
YER180C	ISC10	unknown
YER180C-A	SLO1	Golgi/endosome/vacuole/sorting
YER181C	YER181C	unknown
YER182W	FMP10	unknown
YER183C	FAU1	metabolism/mitochondria
YER184C	YER184C	unknown
YER185W	PUG1	drug/ion transport
YER186C	YER186C	unknown
YER187W	YER187W	unknown
YER188W	YER188W	unknown
YFL001W	DEG1	ribosome/translation
YFL003C	MSH4	G1/S and G2/M cell cycle progression/meiosis
YFL004W	VTC2	Golgi/endosome/vacuole/sorting
YFL006W	YFL006W	unknown
YFL007W	BLM10	signaling/stress response;protein degradation/proteosome
YFL008W_tsq321	smc1-2	DNA replication/repair/HR/cohesion
YFL008W_tsq71	smc1-259	DNA replication/repair/HR/cohesion
YFL009W_tsq334	cdc4-3	G1/S and G2/M cell cycle progression/meiosis;protein degradation/proteosome
YFL009W_tsq415	cdc4-2	G1/S and G2/M cell cycle progression/meiosis;protein degradation/proteosome
YFL010C	WWM1	unknown
YFL010W-A	AUA1	amino acid biosynth&transport/nitrogen utilization
YFL011W	HXT10	drug/ion transport;metabolism/mitochondria
YFL012W	YFL012W	unknown
YFL013C	IES1	chromatin/transcription
YFL013W-A	YFL013W-A	unknown
YFL014W	HSP12	signaling/stress response
YFL015C	YFL015C	unknown
YFL019C	YFL019C	unknown
YFL020C	PAU5	unknown
YFL021W	GAT1	metabolism/mitochondria;chromatin/transcription;amino acid biosynth&transport/nitrogen utilization
YFL023W	BUD27	unknown
YFL025C	BST1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YFL027C	GYP8	ER<->Golgi traffic
YFL028C	CAF16	chromatin/transcription;RNA processing
YFL030W	AGX1	metabolism/mitochondria
YFL031W	HAC1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YFL032W	YFL032W	protein folding/protein glycosylation/cell wall biogenesis&integrity
YFL033C	RIM15	metabolism/mitochondria;signaling/stress response
YFL034C-A	RPL22B	ribosome/translation
YFL034W	YFL034W	unknown
YFL035C-B	YFL035C-B	unknown
YFL036W	RPO41	metabolism/mitochondria
YFL039C_tsq140	act1-125	cell polarity/morphogenesis
YFL039C_tsq142	act1-136	cell polarity/morphogenesis
YFL039C_tsq218	act1-112	cell polarity/morphogenesis
YFL039C_tsq223	act1-129	cell polarity/morphogenesis
YFL039C_tsq64	act1-124	cell polarity/morphogenesis
YFL039C_tsq77	act1-120	cell polarity/morphogenesis
YFL040W	YFL040W	drug/ion transport;lipid/sterol/fatty acid biosynth
YFL041W	FET5	drug/ion transport
YFL042C	YFL042C	unknown
YFL043C	YFL043C	unknown
YFL044C	OTU1	protein degradation/proteosome
YFL046W	FMP32	unknown
YFL047W	RGD2	cell polarity/morphogenesis
YFL048C	EMP47	ER<->Golgi traffic
YFL049W	SWP82	amino acid biosynth&transport/nitrogen utilization
YFL050C	ALR2	drug/ion transport
YFL051C	YFL051C	unknown
YFL052W	YFL052W	unknown
YFL053W	DAK2	metabolism/mitochondria
YFL054C	YFL054C	drug/ion transport
YFL055W	AGP3	amino acid biosynth&transport/nitrogen utilization
YFL056C	AAD6	metabolism/mitochondria
YFL057C	AAD16	metabolism/mitochondria
YFR002W_damp	NIC96_damp	nuclear-cytoplasic transport
YFR003C_damp	YPI1_damp	signaling/stress response
YFR004W_tsq534	rpn11-14	protein degradation/proteosome
YFR006W	YFR006W	unknown
YFR007W	YFH7	unknown
YFR008W	FAR7	unknown
YFR009W	GCN20	metabolism/mitochondria
YFR010W	UBP6	unknown
YFR011C	AIM13	unknown
YFR012W	YFR012W	unknown
YFR013W	IOC3	chromatin/transcription
YFR014C	CMK1	signaling/stress response
YFR015C	GSY1	metabolism/mitochondria
YFR016C	YFR016C	unknown
YFR017C	YFR017C	unknown
YFR018C	YFR018C	unknown
YFR020W	YFR020W	unknown
YFR022W	ROG3	unknown
YFR023W	PES4	DNA replication/repair/HR/cohesion
YFR024C	YFR024C	unknown
YFR024C-A	LSB3	cell polarity/morphogenesis
YFR026C	ULI1	unknown
YFR028C_tsq416	cdc14-2	chromosome segregation/kinetochore/spindle/microtubule
YFR029W_damp	PTR3_damp	amino acid biosynth&transport/nitrogen utilization
YFR030W	MET10	metabolism/mitochondria
YFR031C-A	RPL2A	ribosome/translation
YFR032C	YFR032C	unknown
YFR032C-A	RPL29	ribosome/translation
YFR033C	QCR6	metabolism/mitochondria
YFR034C	PHO4	metabolism/mitochondria;chromatin/transcription
YFR035C	YFR035C	unknown
YFR036W_tsq91	cdc26-1	chromosome segregation/kinetochore/spindle/microtubule
YFR038W	IRC5	unknown
YFR039C	YFR039C	unknown
YFR040W	SAP155	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YFR041C	ERJ5	protein folding/protein glycosylation/cell wall biogenesis&integrity
YFR044C	DUG1	metabolism/mitochondria
YFR045W	YFR045W	unknown
YFR046C	CNN1	chromosome segregation/kinetochore/spindle/microtubule
YFR047C	BNA6	metabolism/mitochondria
YFR048W	RMD8	G1/S and G2/M cell cycle progression/meiosis
YFR049W	YMR31	metabolism/mitochondria;ribosome/translation
YFR051C_tsq823	ret2-1	ER<->Golgi traffic
YFR052W_tsq405	rpn12-1	protein degradation/proteosome
YFR053C	HXK1	metabolism/mitochondria
YFR054C	YFR054C	unknown
YFR055W	IRC7	drug/ion transport;amino acid biosynth&transport/nitrogen utilization
YFR056C	YFR056C	unknown
YFR057W	YFR057W	unknown
YGL001C_tsq742	erg26-1	lipid/sterol/fatty acid biosynth
YGL002W	ERP6	ER<->Golgi traffic
YGL003C	CDH1	protein degradation/proteosome;chromosome segregation/kinetochore/spindle/microtubule
YGL004C	RPN14	protein degradation/proteosome
YGL005C	COG7	Golgi/endosome/vacuole/sorting
YGL006W	PMC1	drug/ion transport
YGL007W	BRP1	unknown
YGL008C_damp	PMA1_damp	drug/ion transport
YGL009C	LEU1	amino acid biosynth&transport/nitrogen utilization
YGL010W	YGL010W	unknown
YGL013C	PDR1	drug/ion transport;chromatin/transcription
YGL014W	PUF4	RNA processing
YGL015C	YGL015C	unknown
YGL016W	KAP122	nuclear-cytoplasic transport
YGL017W	ATE1	ribosome/translation
YGL018C_damp	JAC1_damp	metabolism/mitochondria
YGL019W	CKB1	signaling/stress response
YGL020C	GET1	ER<->Golgi traffic
YGL021W	ALK1	unknown
YGL022W_tsq544	stt3-7	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGL023C	PIB2	Golgi/endosome/vacuole/sorting
YGL024W	YGL024W	unknown
YGL027C	CWH41	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGL028C	SCW11	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGL029W	CGR1	ribosome/translation
YGL031C	RPL24A	ribosome/translation
YGL032C	AGA2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGL034C	YGL034C	unknown
YGL035C	MIG1	metabolism/mitochondria
YGL036W	YGL036W	unknown
YGL037C	PNC1	metabolism/mitochondria;chromatin/transcription
YGL039W	YGL039W	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YGL040C_damp	HEM2_damp	metabolism/mitochondria
YGL041C	YGL041C	unknown
YGL042C	YGL042C	unknown
YGL043W	DST1	chromatin/transcription
YGL044C_tsq652	rna15-58	RNA processing
YGL045W	RIM8	Golgi/endosome/vacuole/sorting;signaling/stress response
YGL046W	YGL046W	unknown
YGL050W	TYW3	unknown
YGL051W	MST27	ER<->Golgi traffic
YGL053W	PRM8	unknown
YGL054C	ERV14	ER<->Golgi traffic
YGL055W_tsq506	ole1-m2	lipid/sterol/fatty acid biosynth
YGL056C	SDS23	unknown
YGL057C	YGL057C	unknown
YGL058W	RAD6	protein degradation/proteosome
YGL059W	PKP2	metabolism/mitochondria
YGL060W	YBP2	chromatin/transcription;chromosome segregation/kinetochore/spindle/microtubule
YGL061C_tsq239	duo1-2	chromosome segregation/kinetochore/spindle/microtubule
YGL062W	PYC1	metabolism/mitochondria
YGL063W	PUS2	ribosome/translation;RNA processing
YGL066W	SGF73	chromatin/transcription
YGL067W	NPY1	metabolism/mitochondria
YGL071W	AFT1	drug/ion transport
YGL077C	HNM1	lipid/sterol/fatty acid biosynth
YGL078C	DBP3	ribosome/translation
YGL079W	YGL079W	unknown
YGL080W	FMP37	unknown
YGL081W	YGL081W	unknown
YGL082W	YGL082W	unknown
YGL083W	SCY1	unknown
YGL084C	GUP1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGL085W	YGL085W	unknown
YGL086W	MAD1	chromosome segregation/kinetochore/spindle/microtubule
YGL087C	MMS2	DNA replication/repair/HR/cohesion
YGL089C	MF(ALPHA)2	cell polarity/morphogenesis;signaling/stress response
YGL090W	LIF1	DNA replication/repair/HR/cohesion
YGL094C	PAN2	RNA processing
YGL095C	VPS45	Golgi/endosome/vacuole/sorting
YGL096W	TOS8	chromatin/transcription
YGL097W_tsq958	srm1-ts	ribosome/translation;nuclear-cytoplasic transport
YGL098W_tsq592	use1-ts	unknown
YGL100W	SEH1	amino acid biosynth&transport/nitrogen utilization
YGL101W	YGL101W	unknown
YGL104C	VPS73	Golgi/endosome/vacuole/sorting
YGL105W	ARC1	ribosome/translation
YGL108C	YGL108C	unknown
YGL109W	YGL109W	unknown
YGL110C	CUE3	unknown
YGL112C_tsq608	taf6-ts	chromatin/transcription
YGL114W	YGL114W	unknown
YGL115W	SNF4	metabolism/mitochondria;signaling/stress response
YGL116W_tsq368	cdc20-3	chromosome segregation/kinetochore/spindle/microtubule
YGL117W	YGL117W	unknown
YGL118C	YGL118C	unknown
YGL121C	GPG1	cell polarity/morphogenesis;signaling/stress response
YGL124C	MON1	Golgi/endosome/vacuole/sorting
YGL125W	MET13	amino acid biosynth&transport/nitrogen utilization
YGL126W	SCS3	lipid/sterol/fatty acid biosynth
YGL127C	SOH1	chromatin/transcription
YGL128C_damp	CWC23_damp	RNA processing
YGL130W_tsq355	ceg1-ts	RNA processing
YGL131C	SNT2	unknown
YGL132W	YGL132W	unknown
YGL133W	ITC1	chromatin/transcription
YGL135W	RPL1B	ribosome/translation
YGL137W_tsq546	sec27-1	ER<->Golgi traffic
YGL138C	YGL138C	unknown
YGL139W	FLC3	drug/ion transport;metabolism/mitochondria
YGL140C	YGL140C	unknown
YGL141W	HUL5	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YGL144C	ROG1	lipid/sterol/fatty acid biosynth
YGL146C	YGL146C	unknown
YGL147C	RPL9A	ribosome/translation
YGL148W	ARO2	amino acid biosynth&transport/nitrogen utilization
YGL149W	YGL149W	chromatin/transcription
YGL150C_damp	INO80_damp	chromatin/transcription
YGL151W	NUT1	chromatin/transcription
YGL152C	YGL152C	unknown
YGL155W_tsq333	cdc43-2	cell polarity/morphogenesis;signaling/stress response
YGL156W	AMS1	metabolism/mitochondria
YGL157W	YGL157W	metabolism/mitochondria
YGL158W	RCK1	signaling/stress response;DNA replication/repair/HR/cohesion
YGL159W	YGL159W	unknown
YGL160W	AIM14	unknown
YGL161C	YIP5	unknown
YGL162W	SUT1	drug/ion transport;lipid/sterol/fatty acid biosynth;chromatin/transcription
YGL163C	RAD54	DNA replication/repair/HR/cohesion
YGL164C	YRB30	unknown
YGL165C	YGL165C	unknown
YGL166W	CUP2	drug/ion transport;chromatin/transcription
YGL167C	PMR1	drug/ion transport
YGL168W	HUR1	DNA replication/repair/HR/cohesion
YGL170C	SPO74	G1/S and G2/M cell cycle progression/meiosis
YGL173C	KEM1	unknown
YGL174W	BUD13	RNA processing
YGL175C	SAE2	DNA replication/repair/HR/cohesion
YGL176C	YGL176C	unknown
YGL177W	YGL177W	unknown
YGL179C	TOS3	metabolism/mitochondria
YGL181W	GTS1	cell polarity/morphogenesis;Golgi/endosome/vacuole/sorting
YGL183C	MND1	G1/S and G2/M cell cycle progression/meiosis
YGL184C	STR3	metabolism/mitochondria
YGL187C	COX4	metabolism/mitochondria
YGL191W	COX13	metabolism/mitochondria
YGL194C	HOS2	chromatin/transcription
YGL195W	GCN1	metabolism/mitochondria
YGL196W	DSD1	unknown
YGL197W	MDS3	unknown
YGL198W	YIP4	unknown
YGL199C	YGL199C	unknown
YGL200C	EMP24	ER<->Golgi traffic
YGL202W	ARO8	amino acid biosynth&transport/nitrogen utilization
YGL203C	KEX1	unknown
YGL205W	POX1	metabolism/mitochondria
YGL208W	SIP2	metabolism/mitochondria;signaling/stress response
YGL209W	MIG2	metabolism/mitochondria;chromatin/transcription
YGL210W	YPT32	cell polarity/morphogenesis
YGL211W	NCS6	ribosome/translation
YGL212W	VAM7	Golgi/endosome/vacuole/sorting
YGL213C	SKI8	RNA processing
YGL215W	CLG1	unknown
YGL216W	KIP3	chromosome segregation/kinetochore/spindle/microtubule
YGL217C	YGL217C	chromosome segregation/kinetochore/spindle/microtubule
YGL218W	YGL218W	metabolism/mitochondria
YGL219C	MDM34	metabolism/mitochondria
YGL221C	NIF3	unknown
YGL222C	EDC1	RNA processing
YGL224C	SDT1	metabolism/mitochondria;chromatin/transcription
YGL226C-A	OST5	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGL226W	MTC3	unknown
YGL227W	VID30	metabolism/mitochondria
YGL228W	SHE10	unknown
YGL229C	SAP4	signaling/stress response
YGL230C	YGL230C	unknown
YGL231C	EMC4	unknown
YGL232W	TAN1	ribosome/translation
YGL233W_tsq43	sec15-1	Golgi/endosome/vacuole/sorting
YGL234W	ADE5,7	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YGL235W	YGL235W	unknown
YGL236C	MTO1	ribosome/translation
YGL237C	HAP2	metabolism/mitochondria;chromatin/transcription
YGL241W	KAP114	nuclear-cytoplasic transport
YGL242C	YGL242C	unknown
YGL243W	TAD1	ribosome/translation;RNA processing
YGL244W	RTF1	chromatin/transcription
YGL248W	PDE1	signaling/stress response
YGL249W	ZIP2	G1/S and G2/M cell cycle progression/meiosis;DNA replication/repair/HR/cohesion
YGL250W	RMR1	G1/S and G2/M cell cycle progression/meiosis;DNA replication/repair/HR/cohesion
YGL251C	HFM1	G1/S and G2/M cell cycle progression/meiosis
YGL252C	RTG2	metabolism/mitochondria;signaling/stress response;chromatin/transcription;amino acid biosynth&transport/nitrogen utilization
YGL253W	HXK2	metabolism/mitochondria
YGL254W	FZF1	drug/ion transport;chromatin/transcription
YGL255W	ZRT1	drug/ion transport
YGL256W	ADH4	metabolism/mitochondria
YGL257C	MNT2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGL258W	VEL1	unknown
YGL259W	YPS5	unknown
YGL260W	YGL260W	unknown
YGL261C	PAU11	unknown
YGL262W	YGL262W	unknown
YGL263W	COS12	unknown
YGR001C	AML1	unknown
YGR003W	CUL3	protein degradation/proteosome
YGR006W_tsq434	prp18-ts	RNA processing
YGR007W	MUQ1	lipid/sterol/fatty acid biosynth
YGR008C	STF2	drug/ion transport;metabolism/mitochondria
YGR009C_tsq60	sec9-4	Golgi/endosome/vacuole/sorting
YGR010W	NMA2	metabolism/mitochondria
YGR011W	YGR011W	unknown
YGR012W	YGR012W	unknown
YGR014W	MSB2	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis;signaling/stress response
YGR015C	YGR015C	unknown
YGR016W	YGR016W	unknown
YGR017W	YGR017W	unknown
YGR018C	YGR018C	unknown
YGR019W	UGA1	metabolism/mitochondria;signaling/stress response;amino acid biosynth&transport/nitrogen utilization
YGR021W	YGR021W	unknown
YGR022C	YGR022C	unknown
YGR023W	MTL1	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis;signaling/stress response
YGR024C_damp	THG1_damp	ribosome/translation
YGR025W	YGR025W	unknown
YGR026W	YGR026W	unknown
YGR027C	RPS25A	ribosome/translation
YGR028W	MSP1	metabolism/mitochondria
YGR029W_damp	ERV1_damp	metabolism/mitochondria
YGR031W	YGR031W	unknown
YGR032W	GSC2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGR033C	TIM21	metabolism/mitochondria
YGR034W	RPL26B	ribosome/translation
YGR035C	YGR035C	unknown
YGR037C	ACB1	metabolism/mitochondria
YGR038W	ORM1	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YGR039W	YGR039W	unknown
YGR040W	KSS1	cell polarity/morphogenesis;signaling/stress response
YGR041W	BUD9	unknown
YGR042W	YGR042W	unknown
YGR043C	NQM1	unknown
YGR044C	RME1	protein folding/protein glycosylation/cell wall biogenesis&integrity;metabolism/mitochondria;G1/S and G2/M cell cycle progression/meiosis;signaling/stress response;chromatin/transcription
YGR045C	YGR045C	unknown
YGR048W_tsq677	ufd1-2	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YGR049W	SCM4	G1/S and G2/M cell cycle progression/meiosis;protein degradation/proteosome
YGR050C	YGR050C	unknown
YGR051C	YGR051C	unknown
YGR052W	FMP48	unknown
YGR053C	YGR053C	unknown
YGR054W	YGR054W	ribosome/translation
YGR055W	MUP1	drug/ion transport
YGR058W	PEF1	cell polarity/morphogenesis
YGR059W	SPR3	G1/S and G2/M cell cycle progression/meiosis
YGR060W_damp	ERG25_damp	lipid/sterol/fatty acid biosynth
YGR061C	ADE6	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YGR066C	YGR066C	unknown
YGR067C	YGR067C	unknown
YGR068C	ART5	cell polarity/morphogenesis;Golgi/endosome/vacuole/sorting;amino acid biosynth&transport/nitrogen utilization
YGR069W	YGR069W	unknown
YGR070W	ROM1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGR071C	YGR071C	unknown
YGR072W	UPF3	RNA processing
YGR079W	YGR079W	unknown
YGR080W	TWF1	cell polarity/morphogenesis
YGR081C	SLX9	nuclear-cytoplasic transport
YGR083C_damp	GCD2_damp	ribosome/translation
YGR084C	MRP13	metabolism/mitochondria;ribosome/translation
YGR085C	RPL11B	ribosome/translation
YGR086C	PIL1	cell polarity/morphogenesis
YGR087C	PDC6	metabolism/mitochondria
YGR088W	CTT1	metabolism/mitochondria
YGR089W	NNF2	unknown
YGR090W_damp	UTP22_damp	ribosome/translation;RNA processing
YGR091W_tsq472	prp31-1	RNA processing
YGR092W	DBF2	chromosome segregation/kinetochore/spindle/microtubule
YGR093W	DRN1	unknown
YGR096W	TPC1	drug/ion transport;metabolism/mitochondria
YGR097W	ASK10	chromatin/transcription
YGR099W_tsq604	tel2-7	DNA replication/repair/HR/cohesion
YGR100W	MDR1	Golgi/endosome/vacuole/sorting
YGR101W	PCP1	metabolism/mitochondria
YGR105W	VMA21	Golgi/endosome/vacuole/sorting
YGR106C	VOA1	Golgi/endosome/vacuole/sorting
YGR107W	YGR107W	unknown
YGR108W	CLB1	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YGR109C	CLB6	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response;DNA replication/repair/HR/cohesion;chromosome segregation/kinetochore/spindle/microtubule
YGR110W	YGR110W	unknown
YGR111W	YGR111W	unknown
YGR112W	SHY1	metabolism/mitochondria
YGR113W_tsq243	dam1-9	chromosome segregation/kinetochore/spindle/microtubule
YGR117C	YGR117C	unknown
YGR118W	RPS23A	ribosome/translation
YGR119C_tsq957	nup57-E17	nuclear-cytoplasic transport
YGR120C_tsq187	cog2-1	Golgi/endosome/vacuole/sorting
YGR121C	MEP1	drug/ion transport
YGR122C-A	YGR122C-A	unknown
YGR122W	YGR122W	unknown
YGR123C	PPT1	signaling/stress response
YGR124W	ASN2	metabolism/mitochondria
YGR125W	YGR125W	unknown
YGR126W	YGR126W	unknown
YGR127W	YGR127W	unknown
YGR129W	SYF2	RNA processing
YGR130C	YGR130C	unknown
YGR131W	YGR131W	unknown
YGR132C	PHB1	metabolism/mitochondria
YGR134W	CAF130	chromatin/transcription
YGR135W	PRE9	protein degradation/proteosome
YGR136W	LSB1	cell polarity/morphogenesis
YGR137W	YGR137W	unknown
YGR138C	TPO2	drug/ion transport
YGR139W	YGR139W	unknown
YGR140W_tsq133	cbf2-1	chromosome segregation/kinetochore/spindle/microtubule
YGR141W	VPS62	unknown
YGR142W	BTN2	Golgi/endosome/vacuole/sorting;amino acid biosynth&transport/nitrogen utilization
YGR143W	SKN1	lipid/sterol/fatty acid biosynth
YGR144W	THI4	amino acid biosynth&transport/nitrogen utilization
YGR146C	YGR146C	unknown
YGR148C	RPL24B	ribosome/translation
YGR149W	YGR149W	unknown
