protein.group	BY	RM	1_1_d	1_3_d	1_4_d	1_5_c	2_2_d	2_3_d	2_4_a	2_5_d	3_1_d	3_3_d	3_4_d	3_5_d	4_1_c	4_3_d	4_4_d	5_1_d	5_2_d	5_3_d	5_4_d	5_5_d	6_1_d	6_2_b	6_3_c	6_4_d	6_5_d	6_6_d	6_7_d	7_1_d	7_2_c	7_3_d	7_4_c	7_5_d	7_6_c	7_7_c	7_8_d	8_1_a	8_2_d	8_3_a	8_4_c	8_5_b	8_6_c	8_7_b	9_1_d	9_2_d	9_3_d	9_4_d	9_5_d	9_6_d	9_7_d	10_1_c	10_2_d	10_3_c	10_4_d	11_1_a	11_2_d	11_3_b	12_1_d	12_2_b	13_1_a	13_2_c	13_3_b	13_4_a	13_5_c	14_1_b	14_2_c	14_5_b	14_6_d	14_7_c	15_2_d	15_3_b	15_5_b	16_1_d	17_1_a	17_2_d	17_4_a	17_5_b	18_1_d	18_2_d	18_3_d	19_1_c	19_5_b	20_1_d	20_2_d	20_3_c	20_4_c	20_5_d	21_1_d	21_3_d	21_4_d	21_5_c	22_1_d	22_2_d	22_3_b	22_4_d	22_5_d	23_3_d	23_4_d	23_5_d	24_1_d	25_1_d	25_3_d	25_4_d	26_1_d	26_2_d	26_3_d
"[orf_trans_mod] ENO1/YGR254W SGDID:S000003486, Chr VII from 1000932-1002245, Verified ORF, ""Enolase I, a phosphopyruvate hydratase that catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression is repressed in response to glucose"""	11103758.28377	14010565.17276	13202359.81725	9523586.238025	2655791.5709	7436810.29085	6632555.450274998	3374021.60685	22192047.271425	9878673.85515	15460982.058275	15674774.72085	11717058.900775	8898790.785725001	12939292.850025	8173625.620075	27332083.9911	7847219.3268	12579913.174525	22005938.28395	14191743.664375	12174198.618675	7532260.88785	13444456.5701	5785610.4343	33067239.6328	24067881.12165	15069681.06665	13708565.108925	5353604.099199999	18465866.613175	12805031.156999998	9321182.542725	21595344.569250006	10955730.4958	11902596.869325	6813778.50985	12726227.519375	6371504.026625	10164456.84795	15255789.992400002	14232000.435849998	16065499.055725	12435253.280825	17577400.79305	18416004.632675	23773219.667825	23650326.687125	10216814.89785	20457958.708625	31089973.9099	7956623.296624999	18676579.1945	20672379.73555	12171385.604775	6067365.355574999	14601397.79365	14527742.116825	9767665.233025	10976228.014425	18007615.110675	3862673.18925	1806671.708775	9105128.9537	22173076.199075	15240170.922175	7774539.9728	14968190.636	9669692.696425	21133440.8059	14673792.30965	33307951.404125	17012570.060775	6573607.815950002	5335858.95595	4231563.792275	6601989.095249998	11317151.031025	5529301.6384999985	10704973.2462	24731022.924525	5094439.30665	10917863.277575	23022605.5161	9675638.74795	9132281.250175	13301822.205133336	18581099.81465	11533072.0087	11994006.4923	37951459.250525	11401913.807425	12758177.26685	15137140.896825	13071538.764750002	9640082.5	19075152.52125	13891444.770375	12054020.619574998	22289564.70035	19476055.58495	16928448.442475	11514509.18815	12458278.01515	14584734.6405	12388850.581575	25225045.145425
"[orf_trans_mod] COQ6/YGR255C SGDID:S000003487, Chr VII from 1003967-1002528, reverse complement, Verified ORF, ""Putative flavin-dependent monooxygenase, involved in ubiquinone (Coenzyme Q) biosynthesis; localizes to the matrix face of the mitochondrial inner membrane in a large complex with other ubiquinone biosynthetic enzymes"""	6227273.089500002	4507812.14136	4990937.836449998	6207551.7028	7610230.6878	4639857.6576333335	3407494.4723	6221574.3254	3369270.706275	3706342.7792	4835795.68505	3867530.2603	3047701.616866667	6406425.198133334	5174124.7365	5550959.0388	8541137.587725	4365053.015533334	8101565.525266668	10364316.367925	3881651.182975	3505139.42665	2976884.04685	3019599.8217	3194188.1936	4867491.292425	9136448.4869	4625432.662725	5785948.743	5097523.1159333335	4649347.035325	5484631.979266667	4983579.400175	5779578.7057	4747169.077325	4304315.5023	5556669.1119	2718701.04365	NA	6957167.187275	5001863.749566667	5060993.7654249985	2227662.411725	6495017.209625	5784959.819925	3121445.07855	6161990.680833332	2481545.1384666665	NA	2482379.8600333333	2308561.296575	3530405.0483249994	3168405.09995	2548390.662175	2935763.3696	4181929.855725	5601013.12515	2362583.094	3154174.05425	6294317.0280249985	4272163.409533333	3682813.4005	5861570.40565	6436297.979875	5921060.451525001	2866761.257925	1733956.902225	7320536.735425	2090031.98505	2134913.91055	7736156.424699998	3532087.456525	3255220.801325	4145568.4075	2381168.475633333	4393729.78385	3508194.408966666	3221890.6868	3034791.7198	6963469.1252	4558561.535824999	NA	11684262.5423	7307598.3734	6410089.258699999	12115002.173666665	8192219.32515	10309340.223	5765959.72695	2501748.7849666667	2048300.83225	5742787.1759	2083786.8453	992588.7293	NA	699791.8713	5183510.6183750015	1674997.6071	1873133.17025	2010602.0065666668	2375710.6461	NA	1125914.6006666666	551306.8236	747219.31285	1452988.3158	2064725.4241
"[orf_trans_mod] GND2/YGR256W SGDID:S000003488, Chr VII from 1004630-1006108, Verified ORF, ""6-phosphogluconate dehydrogenase (decarboxylating), catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone"""	2885042.4259800008	2683202.01387	NA	2140473.95055	3313422.60425	3122191.38665	NA	2812318.7245500004	2116799.82055	NA	NA	3325106.90635	NA	3953155.4239	NA	3604032.46525	3704532.7194	3219089.00795	3347714.04165	3279308.3408500007	2814723.01225	NA	NA	NA	1242734.3012	3171731.83875	3111000.5267000007	1357688.9673	3126116.014566667	1409216.2093	4961781.43405	1143595.9305	3744709.59485	3196133.4738	5161647.517674998	4128049.72345	1725295.9823500004	NA	NA	3475307.60315	3082311.1646	2292209.7115	NA	2182663.291375	2340090.749475	NA	3946475.134775	NA	2890544.71325	NA	2135495.9186	NA	NA	NA	834970.63405	2491575.409925	1622655.6213666666	NA	1514304.8768	1434696.4465	3707594.01165	1947167.00995	2424986.854825	4361506.386150002	3288538.295575001	NA	NA	3812015.106075	NA	NA	3288987.446475	1836040.0523	NA	NA	NA	1812692.041	NA	NA	NA	1744932.3706	3048607.87895	NA	1492611.3025	1544273.5418	2313623.255275	2064519.2776	743459.0917	2073637.8375	1605320.83805	NA	NA	NA	NA	NA	NA	NA	1974908.31105	NA	2286644.4545	NA	1990698.79045	1536940.7883	3205142.189575	2867647.317	2907302.1912	NA	NA
"[orf_trans_mod] MES1/YGR264C SGDID:S000003496, Chr VII from 1021859-1019604, reverse complement, Verified ORF, ""Methionyl-tRNA synthetase, forms a complex with glutamyl-tRNA synthetase (Gus1p) and Arc1p, which increases the catalytic efficiency of both tRNA synthetases; also has a role in nuclear export of tRNAs"""	714727.47165	632960.5461333335	676556.48275	1075719.933825	853394.75625	974556.548125	597129.6738	324450.9287	427509.71675	700267.91805	935089.423575	545085.84985	527609.1503666666	575855.306875	471516.2468	1032291.075625	614422.3820999999	369206.426525	877752.77265	958523.86265	564077.55415	900400.530275	600951.348325	441527.461	524227.5039	743886.382025	550437.00795	930471.495875	1015145.139575	845357.0084500002	378702.560225	947225.767475	745366.5497999998	500514.600125	596314.349075	917910.3026	829756.9535666667	446309.5518	533804.1259333334	567103.97665	653869.50225	1308670.0455	131050.2143	1364764.0083499998	1324881.83105	1424981.554625	1240854.15525	1137368.256375	1562994.0236	435435.0649	1095577.5555	1181625.408	1158702.5269	502384.3544499999	800230.8457	1327632.33805	1043354.416425	858517.8998	872538.68325	1197255.6986	480296.14175	911586.79725	1248155.650975	1233425.845125	638978.4813750001	1177578.265375	857137.64505	1189616.216225	1267444.378925	662951.251725	1332068.082625	1134746.4125	847277.3768999998	425459.9796	416442.059875	870752.5892	523456.4053500001	415752.4782	442161.360275	694902.77295	401219.2307	932041.8662	385246.4503	613225.8719500001	430644.94835	497046.2858	1295473.2802500005	1132621.510125	861909.5798	370267.24255	457166.12115	889907.4002333332	673684.6231999999	565789.0462	NA	1030435.0675333331	1022871.34755	1112057.66945	883053.8468999999	879560.55805	197530.48785	793130.19105	727927.593125	860138.7365	724810.9539999998	1186234.0541	207295.6522
"[orf_trans_mod] SLH1/YGR271W SGDID:S000003503, Chr VII from 1031797-1037700, Verified ORF, ""Putative RNA helicase related to Ski2p, involved in translation inhibition of non-poly(A) mRNAs; required for repressing propagation of dsRNA viruses"""	25818083.152939998	18152109.297629997	20606132.163025	7796147.37845	11706558.997425	10488360.206525	10345763.553875	10572379.628175	9850309.385725	12256472.963775	14034469.192425	14525444.172850002	14427688.109	22669201.022075	22544388.27405	9964786.375925	9772139.628975	10172791.583875	9655745.91805	18481527.3099	10239362.14035	13632055.95235	12198637.312425	16598093.059475	14188355.28085	16409743.073725	14585569.60075	15409448.3314	9059923.718575	14278000.835	18749224.795475	17162996.672875002	22894364.695575	11163015.0775	10568370.346975	7756492.1238	17919935.310775	14773453.002300002	12306233.84905	16692591.670475	13606934.713575	14934221.53315	22758387.197775	19800162.594225	17049896.91485	11203379.576375	13176777.9112	10833117.256125	30460466.9895	14821849.236975	5686329.98605	17049438.94225	22750528.4869	21996011.485775	18659590.8942	13274566.21575	24345314.771875	15716757.568125002	13163841.519925	19401387.701425	17899396.02195	13853787.93395	17809361.245825	19745774.945975	20936458.0968	10347629.422575	16040815.836824998	18642744.6071	15073607.609325	18517817.936975	18637137.539775	10357141.3033	21664651.6523	20323823.74375	16956237.342175	12496336.893075	18362658.85685	19319130.673275	15804896.9373	20857895.9724	21256142.578325	8812034.233375002	22020263.27495	16273764.541675	16741452.5182	19763126.2782	12851363.787524998	30174203.070150007	15349912.21875	15801329.139575	12476736.26755	11561233.596425	8172380.739775	8389667.715825	17381927.0696	12159425.845600003	19997877.073825	17163280.546575	14258759.524725	15743728.047850002	12415090.87715	7659006.0969	13587021.938724998	18590990.884925	7547431.481175002	16470300.403975	21113466.17585
"[orf_trans_mod] SCW4/YGR279C SGDID:S000003511, Chr VII from 1049965-1048805, reverse complement, Verified ORF, ""Cell wall protein with similarity to glucanases; scw4 scw10 double mutants exhibit defects in mating"""	2778987.3074000003	1865628.23138	1834826.727125	1293624.253025	878873.9937249998	1474496.093975	1312855.8604	1321821.227525	2548059.174425	889140.866625	1924562.16805	2038454.130925	843867.580325	2340117.39045	1158588.104375	1232238.73055	1660065.820375	1403316.598375	1970300.556125	1638575.0768	1706432.686375	1343439.3317	1400396.345875	1640279.3229	2159177.75465	1567887.8751	2461988.5263250005	2227974.47055	2490342.9266000004	2584203.6429250003	1207704.4213	2166191.7957	1761725.350025	2196401.9185	1523287.442825	3117484.67125	2410987.172125	1093352.32375	1645457.73795	1212757.13335	2798220.084025	2079956.661975	474797.94592500007	3013937.1395	2153861.742025	3020329.6776	2874553.48885	1782563.978825	2142982.0216	604167.541275	2073961.257375	2113314.273925	2456042.6737750005	1867882.773133333	1754092.502225	2308510.5025	3400091.463675	2089363.159725	1566681.27995	2946129.421925001	1407263.20045	2091264.804225	2141817.8234	2333237.29315	2017354.74965	2260533.67	2314891.8366	1846115.463625	2172789.8285	1411435.34865	2558526.852675	2664622.29245	2335742.976075	1520170.9333749998	1449103.8525	1631539.177575	1325427.557025	1672795.4650749997	1349130.070275	1545445.922975	1918306.36555	940020.6016666666	2097309.862925	2057878.59535	868330.5125500001	1076305.5411	1792789.5443333334	2229821.25545	1942489.046825	1701736.388025	750575.830325	1995821.897175	1555520.3144	2365740.2999	2094214.6331	1069375.15	2087765.9699	1603665.1427	1252923.3824250002	1366544.267525	507682.4672333333	1942693.95565	1804178.05515	1007290.2346	1635543.50255	1036471.968575	1188041.8434
"[orf_trans_mod] BGL2/YGR282C SGDID:S000003514, Chr VII from 1058731-1057790, reverse complement, Verified ORF, ""Endo-beta-1,3-glucanase, major protein of the cell wall, involved in cell wall maintenance"""	4756556.159700002	5314985.22388	5914927.032675	4778897.07605	3621798.738025	4322047.964475	3780164.0663	4211931.437975	8746801.113875	3842794.0345	4892814.5775500005	6366380.98195	7844644.731374999	4470782.036275	8322506.734124999	3404757.850575	7034742.23055	7382077.938925	4710955.122849999	5738788.04495	5014162.73155	4759052.590075	6256333.6717	7251629.1508249985	5136154.6895	6084705.342225	5863828.17655	4269293.26355	5411807.76795	4797096.00185	6748457.13475	5423179.6457	5842447.692875	8279254.911425	4649275.7087	5852580.390899999	4685198.291999999	8751020.965475	3997873.900375	3815006.984425	6915454.86615	5184048.466825	7485818.2871	4668989.000675	4262330.6846	8465975.802675001	5871770.54565	6702162.911925	4413384.14935	7456806.0516	8538643.080049999	9134471.70045	8063355.380199999	7296077.665000001	5135099.06645	5330822.838424998	6104160.659	6771259.640475	7629856.680525	6848569.3654	7841529.764225	7335414.463450002	3567199.629625	4684115.327175	6010952.084625	7553184.6516	7492317.620275	4595178.6758	8060994.273325	8000983.731025	5643141.379525	5194411.8343	8371515.960274999	6092600.084124999	8224925.7632	6339692.13435	5934519.149625	7522539.340675	5324555.367125	5989378.39855	8592959.253675	4609491.5113	4913430.6529250005	4783989.038025	3834178.540725	5363101.1279500015	5144808.54565	4948883.080625	6169152.885225	7398921.637349999	8903548.458525	6799853.551575	5911975.288574999	8694582.19	6097006.01	6809994.235775	8660478.888249999	6786573.0162	5919386.015275	6690692.59925	11629220.79125	8606965.39055	5990927.71555	7137842.1294	7410861.3229749985	6878326.35975	6853241.210925
"[orf_trans_mod] ZUO1/YGR285C SGDID:S000003517, Chr VII from 1063160-1061859, reverse complement, Verified ORF, ""Cytosolic ribosome-associated chaperone that acts, together with Ssz1p and the Ssb proteins, as a chaperone for nascent polypeptide chains; contains a DnaJ domain and functions as a J-protein partner for Ssb1p and Ssb2p"""	3939571.3096800004	3351697.9814444436	4127593.0726500005	2033447.41785	3569042.05175	4040779.8303	3478148.070325	3231794.61965	2094163.308566667	4026145.52795	2785460.414	3612981.51295	1710479.4858499996	3540957.4669500007	1790302.684433333	2998895.99965	1748522.248766667	2184619.83195	3002742.86225	2892507.6416	2713408.5713	3208219.6810000003	3590812.21435	3342890.497175	3536154.770475	3044053.9680000003	1644485.31385	3125766.3235	3019017.659375	2419806.211375	3524224.577225	2786037.039825	4306137.1820749985	1801411.577375	3693004.966225	2745852.912675	2542380.2289	2376422.13305	3496690.424425	4146813.464575	2725172.78495	3630624.07785	3146727.233575	3539462.943275	3551284.9991	2805057.3832750004	2743901.695025	2505038.136925	5259863.526375	2375004.964925	4190056.7881	2461662.5868	6149595.465275	3745711.495875	5765484.54685	4428283.349475	3945232.686225	4835317.280125	2295805.445625	3984067.119775	2805547.22945	2679081.2780250004	4076542.17825	3445330.596825001	3176573.5611500004	2791264.706775	4734786.212725	4525363.267725	3348292.792075	2718444.9192	4701519.720725	3277766.271825	3728289.17945	3883397.4033	1745151.6832749997	4029676.4212	4417739.9466	3507365.575375	3923021.513225	3591653.816	3025644.137425001	2403717.9808	1957087.6298	2739411.589275	1732769.5434333337	2968756.8938	2886601.1745	2420251.5315249995	2340713.7144666663	3516343.251825	2068166.688975	2873201.046325	2748318.085975	1420185.1646333337	2110936.1230333336	2950170.253	2431055.46	4265007.905975	2935549.9817333333	3588039.094175	1652318.6516666666	1961604.596775	2816570.883625	2721413.60315	1784252.1829	3977737.56625	2973156.7715
"[orf_trans_mod] RPL14B/YHL001W SGDID:S000000993, Chr VIII from 104272-104400,104799-105086, Verified ORF, ""Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl14Ap and has similarity to rat L14 ribosomal protein"""	518570.4612625	1914826.1498	1787774.6333333338	4591596.34365	5758108.738875	1295992.0307	3551927.2658	1614459.194275	2915384.4494	5930795.359025	5283810.141625	1097114.5436	892664.8831	782123.573	852175.9477749999	1316864.136025	5800164.123524998	904935.7032	5377048.38115	998632.303525	5042568.20325	3178271.165	1386365.202533333	4424837.47	232488.1912	881087.3220666667	2933334.225825	3785045.297575	2958580.2374250004	1276939.9	959985.4736	4598835.753575001	2100795.51085	3898884.096825	5239620.6290500015	1227832.5215500002	4335040.372275	2367986.222525	615684.9442500001	2928627.352525	3108035.220575	4443603.013875	1144970.533325	1415060.309675	3644422.927775	812216.400075	1005246.746025	2737470.460275	1012343.775575	3280790.677225	769203.5960499998	3914265.611925	704402.00195	4069627.78595	891676.7843499999	5679258.137475002	5729664.741924998	4395203.394825	5733005.125525	3625209.5467	5100250.83175	6226256.739475	4665883.147525	1663757.5135	7037333.414275	704540.6850999999	3498866.313975	1176260.7093	591549.9019500001	915700.109575	875936.485725	4453177.33795	2719150.4142500004	4222673.388375	4100109.172175	1252121.8883250002	3359259.128475	4115624.896825	3505769.8414000007	911207.374725	3399417.44	2173390.89175	1118107.175775	400175.9223	1230307.507425	451793.38775	308286.940925	72838.5994	392076.2217	3050626.3941750005	764727.1751750001	4728376.171125	3458863.328725	617202.416525	3537735.24525	4361683.19275	3954147.968225	2588700.785775	2804504.2278	456000.5572	2600166.39075	402641.193	885694.031575	758346.1886	3640484.96575	3360829.8404	3061046.793675
"[orf_trans_mod] HSE1/YHL002W SGDID:S000000994, Chr VIII from 102607-103965, Verified ORF, ""Subunit of the endosomal Vps27p-Hse1p complex required for sorting of ubiquitinated membrane proteins into intralumenal vesicles prior to vacuolar degradation, as well as for recycling of Golgi proteins and formation of lumenal membranes"""	8101086.090589999	4638281.276600001	6884607.088975001	2351634.3493333333	3867696.2243	3055223.921325	4565939.922275	3286743.187075	3839728.856325	5471327.659075	7438309.1104	5989277.66525	5424291.412975	7298905.422025	8452417.618475	2265949.6763500003	2453102.536075	4486933.90775	2283190.861766666	5193398.871375	3142650.31685	4872425.240433333	7420162.832325	7994414.299975	5051128.517425	4724055.339	3110505.1801	6062703.101249998	2924540.059975	6556746.934475	7249761.159825	8059750.922300002	5214202.185975	3731577.654975	4936250.669466666	1969991.42645	6187651.198925	6819777.543575	4020538.01045	5150591.3646	2775958.3162	3112996.439625	7986380.5545000015	5648891.302999999	3986900.0248	3982869.770425	3650177.760125	3745815.53985	6792148.46125	4726523.315825	NA	7575502.9158999985	6061104.241675002	5409891.642475	5337674.121424999	3036067.944275	6430070.082275	4178239.241775	6636457.691175002	3663674.52205	9916024.564225	7953061.101425	5488908.358925	6721666.649725	7208880.8872	3054475.93095	3478381.8080750005	4466570.525325	3948152.942125	5381221.92815	4812616.18655	1144162.3683666666	7205010.246025	5336812.134975	4599808.117525	3906926.6141	5903100.0446	7456741.684024999	4558447.689874998	4571479.45395	8038008.64665	2862453.9545666664	4697208.341375	2443209.853975	3938584.167425	5199419.783725	3451413.60035	5446768.303025	2732598.367825	5355581.711325	4971638.180525	3275890.5537250005	2187085.35705	2875407.562275	3452770.260275	2862480.9507	3472213.639533333	3121203.911525	3922060.286166666	2203449.145	7738772.128449999	2115165.3591	5677045.631774999	4893579.79445	3072292.6958250008	3463486.2728750007	2835984.497
"[orf_trans_mod] YHL009W-B/YHL009W-B SGDID:S000007372, Chr VIII from 85905-86990,86992-91314, transposable_element_gene, ""Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes"" ||||| [orf_trans_mod] YJL113W/YJL113W SGDID:S000003649, Chr X from 197913-198998,199000-203325, transposable_element_gene, ""Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes"""	5933762.215260001	5379097.1797125	6208007.965125	3969089.426675	3734647.535675	3199801.60355	5148327.089475	3791626.82295	6244432.600275	4921710.972075	3405440.030750001	6860592.9049	3411495.1557	8957339.232675001	3049888.0918	3792185.6656	2762399.5891500004	3291648.7751	5113870.624	4961724.256275	6572949.8767	10736580.705525	5139687.590125	10021213.11685	8596899.0654	7934557.45285	5282696.080375	7872588.955325	6250406.2849	6871890.7206000015	4704652.3162	6432901.6187	4878415.6833	4330838.684975	4080875.10925	5990157.772650002	7622480.0777	3228456.589075	6417201.5964	2716120.390325	9058845.83215	9074916.48565	1835061.435325	7816723.597324999	6361222.3043	3551204.0724	6243737.12565	3061147.2247	5532308.9873	2454322.0497666667	7452173.931866667	4169490.220875	7512370.64875	7835624.162866668	9146629.447133334	11025967.2631	8709292.16195	8612702.1758	5497584.611475	7632545.157133332	5735159.8525	5652427.509433333	8072400.010475	11383419.487125002	5267455.470425	4581005.110333334	7557257.8347	5417526.275625	4047900.353566666	2980594.1077	6402518.395600001	8187728.2697	3993342.613875	2960211.221575	2526840.762225	4515629.22545	4983819.957075	4901626.002475	5415300.821675002	4072709.0626500007	3907191.57205	2915016.221325	3067509.48425	3028221.846625	2042029.7874	2445401.96445	2516556.64135	1848179.726025	1882903.7273	2378231.2197	2026025.9374	3485612.330225	3320730.9089	2932553.677725	3106661.282525	2740057.6389	4350084.951875	7497322.09725	5500438.4032999985	6311533.076725	1128023.47305	1998479.897	3448765.682775	3648199.0445	2082403.429533333	4057525.70705	2017016.517225
"[orf_trans_mod] PRS3/YHL011C SGDID:S000001003, Chr VIII from 81612-80650, reverse complement, Verified ORF, ""5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes"""	1166837.867516667	1303088.9404777777	1136530.14395	1448187.3048	1471720.243	1428265.667	1648391.4986	NA	861638.6660499999	904904.7217	1627721.49595	954061.485225	623700.5043500001	1345164.3197249998	589515.0994	1940673.883975	1190449.67835	665066.693125	1549334.5338499998	1333074.4509	791908.30915	1349822.996125	1008409.927975	809476.576325	950851.787175	1004914.656925	1233620.994525	1351937.5073	1556490.504025	1393080.278575	665488.797675	1235137.19745	918371.344825	827339.782225	803750.167425	1589536.456925	830300.9601666668	684588.2325	1268353.346025	1140186.706075	1148017.419075	1914500.230625	1041915.375975	2379489.082575	2584006.427025	2320153.583775	3057556.5164	2465924.1261	1738796.8365000002	1119417.934225	1502088.987875	1498204.65435	1853575.140925	1629169.524875	1878322.341025	2316167.665875	1398585.1104	2256327.00365	1390652.681725	2016803.2812	1567465.260275	1578622.281	2333393.1063	1513377.786375	1623828.7846749998	1726923.125625	2141014.904875	1935128.86135	1905874.7491	1873499.50375	2084502.436925	2108275.443975	1428596.010625	1294906.325725	728405.8993749998	1355874.2237	1341154.34565	1330954.235825	1343000.716575	1216799.1739500002	1017451.574475	1069147.7651	902885.0362	1083948.3611249998	1111513.1605	1376432.143225	2757793.2210000004	1632255.626725	1719077.281975	2039311.261625	1227359.0782249998	1641583.537125	834564.4134999998	898492.5552666667	1626555.58035	2147110.789266667	1594791.9496	1790162.80625	2400569.286533333	2541358.432975	1081850.545225	1697283.0916666668	2065905.658475	2394945.477725	2110205.051	2839292.401075	568946.38075
"[orf_trans_mod] RPS20/YHL015W SGDID:S000001007, Chr VIII from 75409-75774, Verified ORF, ""Protein component of the small (40S) ribosomal subunit; overproduction suppresses mutations affecting RNA polymerase III-dependent transcription; has similarity to E. coli S10 and rat S20 ribosomal proteins"""	59272947.60691001	64595040.63409001	59411433.29465	44445270.32185	52587396.93965	51644945.891975	57775461.57950001	57105237.68215	37882011.832625	54989762.01065	45127459.75735	50420742.28847501	30564176.65705	63416435.707075	29258770.555675	59309812.77557501	42408394.61275	33658461.650199994	52321054.27345	46629446.5514	48165316.984125	51722613.40040001	45807122.174575	53754657.83075	74342757.948275	51116242.864525	52910054.35745	64150563.95365	56722937.00285	61240533.07187501	48284373.752275	60241787.33607499	52855048.81815	40271151.970075	58445178.4079	60832718.181575	60705332.74775	29970812.13075	61141568.355625	56090486.7536	49379665.091675	58671827.933925	34536074.682125	54388215.32535	56367556.13732499	43550397.501825	55970618.604725	46441751.407775	65041962.23832501	37783191.440075	49077196.4181	43860714.520975	68294384.7255	68033278.29855001	84389004.243025	59776857.318475	49927787.04477499	81151531.255525	47754843.092	61453493.6856	52775030.88860001	53289613.02954999	59953768.624175	54013694.158825	59855352.42215	46088820.99985001	74887044.637825	55728347.79440001	50992541.34365	58330076.579625	55082210.48125	55268219.8521	55789593.510825	57184917.628225	30538679.092	44911021.433025	55491928.30825	49129079.79285	56020162.128425	46334987.718475	38699515.16475	37340701.18017501	45327868.412275	55941688.989525	57505575.90005	55652583.559425	61627099.23182499	64992284.5978	51816149.84895001	54926821.22205	37656610.129225	52361796.674425	50238736.673375	43931786.9641	53035629.2157	59681607.761775	43444366.085425	68126571.93935	59239229.501075	68015779.786	32434127.849425007	36087701.12175	61581211.819425	60579036.29932501	41860684.2554	67681580.97645	39162347.252
"[orf_trans_mod] YHL021C/YHL021C SGDID:S000001013, Chr VIII from 65856-64459, reverse complement, Uncharacterized ORF, ""Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays decreased frequency of mitochondrial genome loss (petite formation)"""	NA	376602.33725	NA	NA	NA	NA	NA	NA	1377364.171125	NA	NA	NA	2790477.98195	NA	2235238.451725	NA	975618.2846	936720.9837	NA	NA	NA	366911.3333	NA	NA	NA	912723.8292666669	511477.0548	NA	NA	NA	NA	NA	NA	1368696.2597	NA	NA	NA	1557737.631925	NA	NA	546847.46625	NA	1370566.65135	376843.1731	NA	950412.839775	471701.8536333333	881601.448575	NA	1444973.25945	556803.3503666668	1411883.823475	NA	708608.52255	NA	NA	533606.119	NA	1038327.1702	384269.3732	1134888.754	891683.1719750002	NA	NA	838770.099025	917700.52465	283661.96886666666	NA	721734.7279	1472973.039475	NA	661786.695575	1092053.5072	NA	1460768.386025	NA	NA	NA	NA	NA	1137932.300575	NA	NA	254353.7882	NA	NA	NA	326846.8727	398051.1639	NA	2175495.06665	668835.059925	434332.4989	2391321.631775	1282964.3491	505583.9825333334	1488360.964075	435046.81995	692424.257325	405396.0809666666	2446738.7312666667	1352190.4386	NA	454239.879575	1126620.1178249998	477114.4882	1187064.982675
"[orf_trans_mod] RIM101/YHL027W SGDID:S000001019, Chr VIII from 51109-52986, Verified ORF, ""Transcriptional repressor involved in response to pH and in cell wall construction; required for alkaline pH-stimulated haploid invasive growth and sporulation; activated by proteolytic processing; similar to A. nidulans PacC"""	1289199.5660875	1096337.02525	985838.8506333334	1255497.7689	1199381.5733	1374031.722125	1259961.0728	1386719.6933999998	1279668.25775	1434797.315425	1523584.7484333338	2243764.3578	1320916.514725	1854227.90805	1256223.433475	1618360.2457	1176536.27405	1638218.801375	1427012.4732333338	1267219.950325	1388892.6688	1098312.9881	1204105.7117333335	2386559.589775	1195421.0827	1129511.585275	1090261.630875	2375305.065975	1634159.625475	2206422.8463250003	1817669.93285	1726140.1445	1306176.0378	1169312.9264666666	1904721.8438	1718591.576175	2318755.8709	927443.193275	1676676.0412	1274255.2139	1747063.1008	1517454.436075	981557.092625	1910532.649175	1829365.729425	1002953.437775	1386574.714575	1166363.212775	1900896.656175	1000631.060275	NA	1040463.407525	676468.77095	1250320.235175	1202356.7038999998	2020873.0135	1877977.3309500003	1507992.9266249996	1616364.124225	1143805.301625	1728966.520625	1841014.387775	1777544.05415	1974481.050275	2129548.3475	992386.187175	1010966.855	1546666.7711	816014.1435499998	1216484.184725	904437.265175	1520449.78745	1158340.86215	1001345.22545	1062221.34505	1179212.398766667	1319010.3979	1454228.5905	1320250.7292	1544624.705375	1118677.428366667	NA	833009.0622	NA	958915.5999	1028522.9233	901661.3015	NA	NA	1118303.3665	805206.8925	1094194.20155	870373.4001	859758.7665500002	1324946.721733333	1399742.8419	958056.70905	NA	1096950.6099	877241.956775	NA	628048.0211	1347036.3689	1230256.6756333334	1234346.7307	1145825.463075	1148385.6075
